mode,scenario_id,Q_day,hard_policy_feasible,soft_violation_score,unit_cost
discrete,W1P1,72,1,0,5384.42111666667
discrete,W1P1,63,1,0,4780.45378730159
discrete,W1P1,54,0,0.00522366507212205,3989.66454444444
discrete,W1P1,45,0,0.052506025488209,3478.34325333333
discrete,W1P1,36,0,0.113921371973472,2366.45262222222
discrete,W1P2,72,1,0,6757.00829583333
discrete,W1P2,63,1,0,6349.12484920635
discrete,W1P2,54,1,0,5526.95784074074
discrete,W1P2,45,1,0,5331.52038444444
discrete,W1P2,36,1,0,4813.896425
discrete,W1P3,72,1,0,8117.71960277778
discrete,W1P3,63,1,0,7904.22348571428
discrete,W1P3,54,1,0,7326.14625
discrete,W1P3,45,1,0,7286.75743111111
discrete,W1P3,36,0,0.0171684783252924,7253.26403611111
discrete,W1P4,72,0,0.0418388977212507,8666.229825
discrete,W1P4,63,0,0.0134384587329172,8531.09231111111
discrete,W1P4,54,1,0,8181.06622962963
discrete,W1P4,45,1,0,7560.30934222222
discrete,W1P4,36,1,0,6970.20437777778
discrete,W2P1,72,1,0,5790.27278333333
discrete,W2P1,63,1,0,5055.63403809524
discrete,W2P1,54,1,0,4490.53933888889
discrete,W2P1,45,1,0,4088.89738222222
discrete,W2P1,36,0,0.036999927151755,3140.79586944444
discrete,W2P2,72,1,0,7320.09765833333
discrete,W2P2,63,1,0,6804.00532380952
discrete,W2P2,54,1,0,6530.30583888889
discrete,W2P2,45,1,0,6184.77165111111
discrete,W2P2,36,1,0,5855.70856666667
discrete,W2P3,72,0,0.0780074191838898,8724.73410277778
discrete,W2P3,63,0,0.049466864044968,8409.30411746032
discrete,W2P3,54,0,0.0211833308572277,8218.82600555556
discrete,W2P3,45,1,0,7984.76498444444
discrete,W2P3,36,1,0,7841.74370277778
discrete,W2P4,72,0,0.13917783329548,9273.244325
discrete,W2P4,63,0,0.118806719443908,9036.17294285714
discrete,W2P4,54,0,0.0941142970336254,8729.50165555556
discrete,W2P4,45,0,0.0653935774713855,8149.12554
discrete,W2P4,36,0,0.0298077749140893,7812.46303611111
discrete,W3P1,72,1,0,5236.67169305556
discrete,W3P1,63,1,0,4488.56658730159
discrete,W3P1,54,0,0.0118131755545311,3860.5240537037
discrete,W3P1,45,0,0.059964141181292,3322.12806222222
discrete,W3P1,36,0,0.123613288253676,2241.44833055556
discrete,W3P2,72,1,0,6618.55891388889
discrete,W3P2,63,1,0,6067.86626825397
discrete,W3P2,54,1,0,5703.04034814815
discrete,W3P2,45,1,0,5534.83299777778
discrete,W3P2,36,0,0.024041127364632,4698.95560833333
discrete,W3P3,72,1,0,8001.225125
discrete,W3P3,63,1,0,7648.05622380952
discrete,W3P3,54,1,0,7391.9475
discrete,W3P3,45,1,0,7069.07908888889
discrete,W3P3,36,0,0.096981375518905,7200.32958611111
discrete,W3P4,72,0,0.0237868120221061,8549.73534722222
discrete,W3P4,63,0,0.00212782390422855,8270.31484444444
discrete,W3P4,54,1,0,7964.73985740741
discrete,W3P4,45,1,0,7504.51013555555
discrete,W3P4,36,0,0.0823482252980676,6869.41600277778
discrete,W4P1,72,1,0,4890.30035277778
discrete,W4P1,63,0,0.0153342821042644,4098.49296031746
discrete,W4P1,54,0,0.0454465837404381,3405.48311851852
discrete,W4P1,45,0,0.094906057993623,2771.52389555556
discrete,W4P1,36,0,0.168875752060612,1578.81998333333
discrete,W4P2,72,1,0,6137.56940694445
discrete,W4P2,63,1,0,5523.94330793651
discrete,W4P2,54,1,0,5068.50852407407
discrete,W4P2,45,1,0,4507.36753555556
discrete,W4P2,36,0,0.0445003266684348,3975.251425
discrete,W4P3,72,1,0,7490.03288055556
discrete,W4P3,63,1,0,7069.61584920635
discrete,W4P3,54,1,0,6871.79315555556
discrete,W4P3,45,1,0,6639.59234
discrete,W4P3,36,0,0.0768565898666383,5783.82611666667
