hour,time_label,P_base_MW,P_eha_MW,P_load_total_MW,P_wind_MW,P_pv_MW,P_re_MW,P_buy_MW,P_sell_MW
0,0:00-1:00,1.3698,20.75,22.1198,10.904,0,10.904,11.2158,0
1,1:00-2:00,1.0998,20.75,21.8498,15.152,0,15.152,6.6978,0
2,2:00-3:00,0.7998,20.75,21.5498,13.312,0,13.312,8.2378,0
3,3:00-4:00,0.99,20.75,21.74,15.072,0,15.072,6.668,0
4,4:00-5:00,1.1802,20.75,21.9302,18.724,0,18.724,3.2062,0
5,5:00-6:00,1.6302,20.75,22.3802,9.628,1.28,10.908,11.4722,0
6,6:00-7:00,2.5002,20.75,23.2502,22.804,7.68,30.484,0,7.2338
7,7:00-8:00,3.3702,20.75,24.1202,17.852,17.92,35.772,0,11.6518
8,8:00-9:00,4.0098,20.75,24.7598,14.328,28.8,43.128,0,18.3682
9,9:00-10:00,4.2,20.75,24.95,11.904,37.12,49.024,0,24.074
10,10:00-11:00,4.1202,20.75,24.8702,7.736,42.88,50.616,0,25.7458
11,11:00-12:00,3.9,20.75,24.65,8.556,44.8,53.356,0,28.706
12,12:00-13:00,3.2598,20.75,24.0098,14.52,46.08,60.6,0,36.5902
13,13:00-14:00,2.6898,20.75,23.4398,6.708,42.88,49.588,0,26.1482
14,14:00-15:00,3.63,20.75,24.38,11.176,37.12,48.296,0,23.916
15,15:00-16:00,3.8202,20.75,24.5702,10.108,28.8,38.908,0,14.3378
16,16:00-17:00,3.75,20.75,24.5,6.384,17.92,24.304,0.195999999999998,0
17,17:00-18:00,3.1398,20.75,23.8898,6.428,5.12,11.548,12.3418,0
18,18:00-19:00,2.61,20.75,23.36,5.736,0,5.736,17.624,0
19,19:00-20:00,2.1198,20.75,22.8698,3.752,0,3.752,19.1178,0
20,20:00-21:00,1.86,20.75,22.61,3.692,0,3.692,18.918,0
21,21:00-22:00,1.6302,20.75,22.3802,4.88,0,4.88,17.5002,0
22,22:00-23:00,1.56,20.75,22.31,2.5,0,2.5,19.81,0
23,23:00-24:00,1.4802,20.75,22.2302,3.192,0,3.192,19.0382,0
