scenario_id,wind_scenario,pv_scenario,Q_day,total_cost,incremental_total_cost,unit_cost,incremental_unit_cost,E_load,E_re,E_buy,E_sell,E_curtail,E_self,R_self,R_green,R_sell,class,pass_self,pass_green,pass_green_2030,pass_sell,rate_vector,on_hours
W1P1,1,1,72,390965.991632876,352295.994632876,5430.08321712328,4892.99992545662,1056.72,761.764,430.28,135.324,0,626.44,0.822354429980939,0.592815504580211,0.177645570019061,全满足,1,1,1,1,3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3,
W1P1,1,1,63,302950.191632876,264280.194632876,4808.73320052185,4194.92372433137,932.22,761.764,305.78,135.324,0,626.44,0.822354429980939,0.671987299135397,0.177645570019061,全满足,1,1,1,1,3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 0.3 0.3 2.1 0.3,
W1P1,1,1,54,221381.796532877,182711.799532877,4099.66289875697,3383.55184320142,807.72,761.764,185.5362,139.5802,0,622.1838,0.816767135228233,0.770296389838063,0.183232864771767,全满足,1,1,1,1,0.3 1.2 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 0.3 0.3 0.3 0.3 0.3,
W1P1,1,1,45,162545.154432877,123875.157432877,3612.11454295281,2752.78127628615,683.22,761.764,94.8064,173.3504,0,588.4136,0.772435557469242,0.861235912297649,0.227564442530758,部分满足,1,1,1,0,0.3 0.3 0.3 0.3 0.3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 0.3 0.3 0.3 0.3 0.3,
W1P1,1,1,36,88111.3536328768,49441.3566328768,2447.53760091324,1373.37101757991,558.72,761.764,11.4960000000001,214.54,0,547.224,0.718364217789237,0.97942439862543,0.281635782210763,部分满足,1,1,1,0,0.3 0.3 0.3 0.3 0.3 0.3 0.3 3 3 3 3 3 3 3 3 3 3 2.1 0.3 0.3 0.3 0.3 0.3 0.3,
W1P2,1,2,72,489792.268532877,451122.271532877,6802.67039628995,6265.58710462329,1056.72,503.204,560.9662,7.4502,0,495.7538,0.985194473811814,0.469143954879249,0.0148055261881861,全满足,1,1,1,1,3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3,
W1P2,1,2,63,401776.468532876,363106.471532876,6377.40426242661,5763.59478623613,932.22,503.204,436.4662,7.4502,0,495.7538,0.985194473811814,0.531799146124305,0.0148055261881861,全满足,1,1,1,1,3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 0.3 0.3 2.1 0.3,
W1P2,1,2,54,304395.634532877,265725.637532877,5636.95619505327,4920.84513949772,807.72,503.204,314.8342,10.3182,0,492.8858,0.979494996065214,0.610218640122815,0.0205050039347859,全满足,1,1,1,1,3 3 3 3 3 3 1.2 3 3 3 3 3 3 3 3 3 3 3 0.3 0.3 0.3 0.3 0.3 0.3,
W1P2,1,2,45,246010.197432877,207340.200432877,5466.89327628615,4607.56000961948,683.22,503.204,211.3944,31.3784,0,471.8256,0.937642785033505,0.690591024852902,0.0623572149664947,全满足,1,1,1,1,0.3 0.3 3 0.3 3 3 0.3 3 3 3 3 3 3 3 3 3 3 3 0.3 0.3 0.3 0.3 0.3 0.3,
W1P2,1,2,36,179761.954332877,141091.957332877,4993.38762035769,3919.22103702435,558.72,503.204,115.5326,60.0166,0,443.1874,0.880731075269672,0.793219143757159,0.119268924730328,全满足,1,1,1,1,0.3 0.3 0.3 0.3 0.3 2.1 0.3 3 3 3 3 3 3 3 3 3 3 0.3 0.3 0.3 0.3 0.3 0.3 0.3,
W1P3,1,3,72,587763.482632876,549093.485632877,8163.3817032344,7626.29841156773,1056.72,337.444,719.275999999999,0,0,337.444,1,0.31933151639034,0,全满足,1,1,0,1,3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3,
W1P3,1,3,63,499747.682632877,461077.685632877,7932.50289893455,7318.69342274407,932.22,337.444,594.776,0,0,337.444,1,0.361978932011757,0,全满足,1,1,1,1,3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 0.3 0.3 2.1 0.3,
W1P3,1,3,54,394953.308632877,356283.311632877,7313.95015986808,6597.83910431253,807.72,337.444,471.224,0.948000000000001,0,336.496,0.997190644966276,0.416599811815976,0.00280935503372412,全满足,1,1,1,1,3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 1.2 0.3 0.3 0.3 0.3 0.3 0.3,
W1P3,1,3,45,334085.246432877,295415.249432877,7424.11658739726,6564.78332073059,683.22,337.444,361.9064,16.1304,0,321.3136,0.952198290679342,0.470293024208893,0.0478017093206576,全满足,1,1,1,1,0.3 0.3 3 3 3 3 0.3 3 3 3 3 3 3 3 3 3 3 0.3 0.3 0.3 0.3 0.3 0.3 0.3,
W1P3,1,3,36,267595.532532877,228925.535532877,7433.20923702436,6359.04265369102,558.72,337.444,262.6482,41.3722,0,296.0718,0.877395360415358,0.529910867697595,0.122604639584642,全满足,1,1,1,1,0.3 0.3 2.1 0.3 0.3 3 0.3 3 3 3 3 3 3 3 3 3 0.3 0.3 0.3 0.3 0.3 0.3 0.3 0.3,
W1P4,1,4,72,627256.218632877,588586.221632877,8711.89192545662,8174.80863378995,1056.72,272.804,783.916,0,0,272.804,1,0.258161102278749,0,部分满足,1,0,0,1,3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3,
W1P4,1,4,63,539240.418632877,500570.421632877,8559.37172433137,7945.5622481409,932.22,272.804,659.416,0,0,272.804,1,0.292639076612817,0,部分满足,1,0,0,1,3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 2.1 3 3 0.3 0.3 3 0.3,
W1P4,1,4,54,436471.368632877,397801.371632877,8082.80312283105,7366.69206727549,807.72,272.804,534.916,0,0,272.804,1,0.337745753478928,0,全满足,1,1,0,1,3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 0.3 1.2 0.3 0.3 0.3 0.3 0.3,
W1P4,1,4,45,346838.909732877,308168.912732877,7707.53132739726,6848.19806073059,683.22,272.804,416.5678,6.1518,0,266.6522,0.977449744138649,0.390287462310822,0.022550255861351,全满足,1,1,1,1,3 3 3 3 3 3 0.3 3 3 3 3 0.3 3 3 3 3 0.3 0.3 0.3 0.3 0.3 0.3 0.3 0.3,
W1P4,1,4,36,254649.688732877,215979.691732877,7073.60246480213,5999.4358814688,558.72,272.804,304.0058,18.0898,0,254.7142,0.93368938871864,0.455888817296678,0.0663106112813595,全满足,1,1,1,1,0.3 3 3 3 3 3 0.3 3 3 3 0.3 0.3 3 3 0.3 2.1 0.3 0.3 0.3 0.3 0.3 0.3 0.3 0.3,
W2P1,2,1,72,420187.311632876,381517.314632876,5835.93488378995,5298.85159212328,1056.72,658.904,487.428,89.612,0,569.292,0.863998397338611,0.538734953440836,0.136001602661389,全满足,1,1,1,1,3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3,
W2P1,2,1,63,319846.011632876,281176.014632876,5076.92081956947,4463.11134337899,932.22,658.904,362.928,89.612,0,569.292,0.863998397338611,0.610684173263822,0.136001602661389,全满足,1,1,1,1,3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 2.1 0.3 0.3 0.3 3,
W2P1,2,1,54,250754.211632877,212084.214632877,4643.59651171994,3927.48545616438,807.72,658.904,238.428,89.612,0,569.292,0.863998397338611,0.70481354924974,0.136001602661389,全满足,1,1,1,1,0.3 1.2 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 0.3 0.3 0.3 0.3 0.3,
W2P1,2,1,45,192545.216632877,153875.219632877,4278.7825918417,3419.44932517504,683.22,658.904,130.018,105.702,0,553.202,0.839579058557848,0.809698193846784,0.160420941442152,全满足,1,1,1,1,0.3 0.3 0.3 3 0.3 0.3 3 3 3 3 3 3 3 3 3 3 3 3 3 0.3 0.3 0.3 0.3 0.3,
W2P1,2,1,36,118330.210732877,79660.2137328768,3286.95029813547,2212.78371480213,558.72,658.904,38.2638000000001,138.4478,0,520.4562,0.789881682308804,0.931515249140894,0.210118317691196,部分满足,1,1,1,0,0.3 0.3 0.3 0.3 0.3 0.3 0.3 3 3 3 3 3 3 3 3 3 3 2.1 0.3 0.3 0.3 0.3 0.3 0.3,
W2P2,2,2,72,530334.702632876,491664.705632876,7365.75975878995,6828.67646712328,1056.72,400.344,656.376,0,0,400.344,1,0.378855325914149,0,全满足,1,1,1,1,3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3,
W2P2,2,2,63,429993.402632876,391323.405632876,6825.29210528375,6211.48262909328,932.22,400.344,531.876,0,0,400.344,1,0.429452275214005,0,全满足,1,1,1,1,3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 2.1 0.3 0.3 0.3 3,
W2P2,2,2,54,360901.602632877,322231.605632877,6683.36301171994,5967.25195616438,807.72,400.344,407.376,0,0,400.344,1,0.495647006388352,0,全满足,1,1,1,1,0.3 3 3 3 3 3 1.2 3 3 3 3 3 3 3 3 3 3 3 3 0.3 0.3 0.3 0.3 0.3,
W2P2,2,2,45,277885.930732877,239215.933732877,6175.24290517504,5315.90963850837,683.22,400.344,294.6278,11.7518,0,388.5922,0.970645744659593,0.568765844091215,0.0293542553404073,全满足,1,1,1,1,0.3 0.3 3 3 3 3 0.3 0.3 3 3 3 3 3 3 3 3 3 3 0.3 0.3 0.3 0.3 0.3 0.3,
W2P2,2,2,36,219792.317832877,181122.320832877,6105.34216202436,5031.17557869102,558.72,400.344,182.9676,24.5916,0,375.7524,0.938573826509202,0.672523625429553,0.0614261734907979,全满足,1,1,1,1,0.3 0.3 0.3 2.1 0.3 0.3 0.3 0.3 3 3 3 3 3 3 3 3 3 3 0.3 0.3 0.3 0.3 0.3 0.3,
