scenario_id,wind_scenario,pv_scenario,daily_NH3_t,avg_rate_tph,curtail_MWh,unserved_base_MWh,max_curtail_MW,max_unserved_base_MW,rate_vector,curtail_vector,unserved_vector
W1P1,1,1,40.895421686747,1.70397590361446,135.324,0,26.6502,0,0.60768 0.70874 1.0375 0.89075 1.0042 1.2357 1.5331 3 3 3 3 3 3 3 3 3 2.8654 1.9926 1.1088 0.26141 0.13677 0.14905 0.24 0.12374,0 0 0 0 0 0 0 3.5338 9.4622 14.708 18.7638 17.376 20.1162 26.6502 14.058 10.6558 0 0 0 0 0 0 0 0,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
W1P2,1,2,31.4482265060241,1.31034277108434,7.45020000000001,0,7.4502,0,0.60768 0.70874 1.0375 0.89075 1.0042 1.2357 0.51526 1.6362 1.7871 2.0276 2.367 2.5443 2.9737 3 2.5358 2.3823 1.8476 0.9285 0.50733 0.26141 0.13677 0.14905 0.24 0.12374,0 0 0 0 0 0 0 0 0 0 0 0 0 7.4502 0 0 0 0 0 0 0 0 0 0,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
W1P3,1,3,20.0041445783133,0.833506024096386,8.43769498715119e-15,0,1.77635683940025e-15,0,0.60768 0.70874 1.0375 0.89075 1.0042 1.2357 0.51526 1.4974 1.232 1.1023 1.1179 1.1101 1.4007 1.873 1.0553 1.0407 0.82974 0.46585 0.36853 0.26141 0.13677 0.14905 0.24 0.12374,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
W1P4,1,4,15.3313734939759,0.638807228915662,3.10862446895044e-15,0,1.77635683940025e-15,0,0.60768 0.70874 1.0375 0.89075 1.0042 1.2357 0.51526 1.4049 1.0006 0.73215 0.56268 0.36983 0.75298 1.4104 0.59263 0.62428 0.45961 0.23452 0.276 0.26141 0.13677 0.14905 0.24 0.12374,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
W2P1,2,1,36.7742313253012,1.53225963855422,89.612,0.1382,18.9182,0.1382,0.28498 0.53495 0.62026 0.6733 0.63035 0.57758 1.4978 2.1593 2.7367 3 3 3 3 3 3 3 2.5609 2.0088 1.096 0.15847 0.033831 0 0.040771 0.16018,0 0 0 0 0 0 0 0 0 5.24 12.1958 13.932 15.7282 18.9182 15.714 7.8838 0 0 0 0 0 0 0 0,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.1382 0 0
W2P2,2,2,24.5611228915663,1.02338012048193,8.88178419700125e-16,0.1382,8.88178419700125e-16,0.1382,0.28498 0.53495 0.62026 0.6733 0.63035 0.57758 0.47999 0.53999 0.83987 1.3431 1.8922 2.2953 2.6565 2.9796 2.6555 2.182 1.5431 0.94469 0.4946 0.15847 0.033831 0 0.040771 0.16018,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.1382 0 0
W2P3,2,3,12.5784722891566,0.524103012048193,8.88178419700125e-16,0.1382,8.88178419700125e-16,0.1382,0.28498 0.53495 0.62026 0.6733 0.63035 0.57758 0.47999 0.40119 0.28469 0.41783 0.64307 0.86111 1.0835 1.3141 1.175 0.84027 0.52525 0.48204 0.35581 0.15847 0.033831 0 0.040771 0.16018,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.1382 0 0
W2P4,2,4,7.90570120481928,0.32940421686747,8.88178419700125e-16,0.1382,8.88178419700125e-16,0.1382,0.28498 0.53495 0.62026 0.6733 0.63035 0.57758 0.47999 0.30866 0.053364 0.047711 0.087889 0.12087 0.43577 0.85144 0.71234 0.42389 0.15513 0.25071 0.26328 0.15847 0.033831 0 0.040771 0.16018,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.1382 0 0
W3P1,3,1,42.9218168674699,1.78840903614458,126.3682,0,22.8342,0,0.76151 0.88801 0.97361 1.0648 1.0054 0.85632 1.837 2.5294 3 3 3 3 3 3 3 3 3 2.4237 1.5226 0.51442 0.38805 0.33411 0.35364 0.46929,0 0 0 0 0 0 0 0 2.3222 12.296 15.6638 18.94 20.5722 22.8342 17.954 14.0318 1.754 0 0 0 0 0 0 0,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
W3P2,3,2,33.0964048192771,1.37901686746988,3.72640000000001,0,3.6342,0,0.76151 0.88801 0.97361 1.0648 1.0054 0.85632 0.81917 0.91011 1.271 1.8532 2.1429 2.6573 3 3 2.8174 2.6264 2.109 1.3596 0.92111 0.51442 0.38805 0.33411 0.35364 0.46929,0 0 0 0 0 0 0 0 0 0 0 0 0.0922 3.6342 0 0 0 0 0 0 0 0 0 0,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
