mode,Q_day,cost_mean,cost_max,cost_p90,cost_cvar90,violation_mean,violation_max,violation_p90,violation_cvar90,full_pass_count,partial_pass_count,all_fail_count
discrete,72,7182.67043744213,9273.244325,8707.18281944444,8980.71223981481,0.0163494902465491,0.13917783329548,0.067156862745098,0.10085295379413,18,6,0
discrete,63,6724.95103531746,9036.17294285714,8494.55585301587,8751.79317037037,0.0120220792749333,0.118806719443908,0.0400518615789331,0.0776746547667575,16,8,0
discrete,54,6271.6135753858,8729.50165555556,8207.49807277778,8394.95933888889,0.0114464408549661,0.0941142970336254,0.0445631657420624,0.064664183985373,17,7,0
discrete,45,5910.3121725,8149.12554,7913.884174,8030.24737481481,0.018590078290417,0.10208708598765,0.0637647465843574,0.0874622404842195,16,8,0
discrete,36,5315.08045648148,7841.74370277778,7570.79213333333,7769.94025740741,0.0621968769949216,0.168875752060612,0.120705713369615,0.150572180898006,4,20,0
continuous,72,7182.67043744213,9273.244325,8707.18281944444,8980.71223981481,0.0163494902465491,0.13917783329548,0.067156862745098,0.10085295379413,18,6,0
continuous,63,6724.95103531746,9036.17294285714,8494.55585301587,8751.79317037037,0.0120220792749333,0.118806719443908,0.0400518615789331,0.0776746547667575,16,8,0
continuous,54,6271.6135753858,8729.50165555556,8207.49807277778,8394.95933888889,0.0114464408549661,0.0941142970336254,0.0445631657420624,0.064664183985373,17,7,0
continuous,45,5910.3121725,8149.12554,7913.884174,8030.24737481481,0.018590078290417,0.10208708598765,0.0637647465843574,0.0874622404842195,16,8,0
continuous,36,5315.08045648148,7841.74370277778,7570.79213333333,7769.94025740741,0.0621968769949216,0.168875752060612,0.120705713369615,0.150572180898006,4,20,0
