E_cap_MWh,P_cap_MW,duration_h,daily_NH3_t,storage_daily_cost,storage_unit_cost_yuan_per_t
0,0,NaN,46.1864240963856,0,0
0,0,NaN,46.1864240963856,0,0
0,0,NaN,46.1864240963856,0,0
10,1.25,8,23.2432120481928,1884.84619363418,81.0923287937189
10,2.5,4,46.4864240963855,1884.84619363418,40.5461643968594
10,5,2,46.4864240963855,1884.84619363418,40.5461643968594
20,2.5,8,23.2432120481928,3769.69238726835,162.184657587438
20,5,4,46.4864240963855,3769.69238726835,81.0923287937189
20,10,2,46.4864240963855,3769.69238726835,81.0923287937189
30,3.75,8,23.2432120481928,5654.52218931053,243.276281160554
30,7.5,4,46.4864240963855,5654.52218931053,121.638140580277
30,15,2,46.4864240963855,5654.52218931053,121.638140580277
40,5,8,23.2432120481928,7539.26848294471,324.364311925249
40,10,4,46.4864240963855,7539.26848294471,162.182155962624
40,20,2,46.4864240963855,7539.26848294471,162.182155962624
50,6.25,8,23.2432120481928,9424.01477657888,405.452342689944
50,12.5,4,46.4864240963855,9424.01477657888,202.726171344972
50,25,2,46.4864240963855,9424.01477657888,202.726171344972
60,7.5,8,23.2432120481928,11308.7610702131,486.540373454638
60,15,4,46.4864240963855,11308.7610702131,243.270186727319
60,30,2,46.4864240963855,11308.7610702131,243.270186727319
70,8.75,8,23.2432120481928,13193.4910878472,567.627703971881
70,17.5,4,46.4864240963855,13193.4910878472,283.813851985941
70,35,2,46.4864240963855,13193.4910878472,283.813851985941
80,10,8,23.2432120481928,15078.1551598996,648.71219729168
80,20,4,46.4864240963855,15078.1551598996,324.35609864584
80,40,2,46.4864240963855,15078.1551598996,324.35609864584
90,11.25,8,23.2432120481928,16962.7879800941,729.795346053001
90,22.5,4,46.4864240963855,16962.7879800941,364.8976730265
90,45,2,46.4864240963855,16962.7879800941,364.8976730265
100,12.5,8,23.2432120481928,18847.3709602887,810.876350532374
100,25,4,46.4864240963855,18847.3709602887,405.438175266187
100,50,2,46.4864240963855,18847.3709602887,405.438175266187
110,13.75,8,23.2432120481928,20731.9444903374,891.956948435162
110,27.5,4,46.4864240963855,20731.9444903374,445.978474217581
110,55,2,46.4864240963855,20731.9444903374,445.978474217581
120,15,8,23.2432120481928,22616.4139392748,973.033068423659
120,30,4,46.4864240963855,22616.4139392748,486.516534211829
120,60,2,46.4864240963855,22616.4139392748,486.516534211829
130,16.25,8,23.2432120481928,24500.8833882121,1054.10918841216
130,32.5,4,46.4864240963855,24500.8833882121,527.054594206078
130,65,2,46.4864240963855,24500.8833882121,527.054594206078
140,17.5,8,23.2432120481928,26385.3431110977,1135.18488995368
140,35,4,46.4864240963855,26385.3431110977,567.592444976839
140,70,2,46.4864240963855,26385.3431110977,567.592444976839
150,18.75,8,23.2432120481928,28269.6988113959,1216.25611609881
150,37.5,4,46.4864240963855,28269.6988113959,608.128058049404
150,75,2,46.4864240963855,28269.6988113959,608.128058049404
160,20,8,23.2432120481928,30154.0545116942,1297.32734224394
160,40,4,46.4864240963855,30154.0545116942,648.663671121968
160,80,2,46.4864240963855,30154.0545116942,648.663671121968
170,21.25,8,23.2432120481928,32038.4102119924,1378.39856838907
170,42.5,4,46.4864240963855,32038.4102119924,689.199284194533
170,85,2,46.4864240963855,32038.4102119924,689.199284194533
180,22.5,8,23.2432120481928,33922.7416451236,1459.46875048026
180,45,4,46.4864240963855,33922.7416451236,729.734375240129
180,90,2,46.4864240963855,33922.7416451236,729.734375240129
190,23.75,8,23.2432120481928,35806.9833798355,1540.53507344823
190,47.5,4,46.4864240963855,35806.9833798355,770.267536724117
190,95,2,46.4864240963855,35806.9833798355,770.267536724117
