E_cap_from_MWh,E_cap_to_MWh,marginal_unit_cost_reduction_yuan_per_t_per_MWh
0,10,-4.05461643968594
10,20,-4.05461643968594
20,30,-4.05458117865583
30,40,-4.05440153823473
40,50,-4.05440153823473
50,60,-4.05440153823473
60,70,-4.05436652586216
70,80,-4.05422466598991
80,90,-4.05415743806606
90,100,-4.05405022396868
100,110,-4.05402989513937
110,120,-4.05380599942485
120,130,-4.05380599942486
130,140,-4.0537850770761
140,150,-4.05356130725646
150,160,-4.05356130725647
160,170,-4.05356130725647
170,180,-4.05350910455961
180,190,-4.0533161483988
