scheme,unit_cost,full_pass_days,annual_NH3,storage_investment_proxy,grid_support_value,topsis_score,rank
continuous_Q45,5957.85563897133,285,16200,0,0,0.869182804003639,1
continuous_Q54,6315.10974667364,285,19440,0,0,0.868685978917391,2
continuous_Q36,5340.20145218639,270,12960,0,0,0.867051594634819,3
discrete_Q54,6332.49637599463,255,19440,0,0,0.862173640450064,4
discrete_Q45,5983.37153323059,240,16200,0,0,0.856773781730982,5
continuous_Q63,6750.18243755889,270,22680,0,0,0.855453576439936,6
discrete_Q63,6777.13629298217,240,22680,0,0,0.845508486959629,7
continuous_Q72,7228.33253789875,270,25920,0,0,0.836824155503273,8
discrete_Q72,7228.33253789875,270,25920,0,0,0.836824155503273,9
discrete_Q36,5406.40465739472,60,12960,0,0,0.731405912299001,10
offgrid_storage,4155.31826964628,0,10137.5559036988,10,-3005.15853258384,0.161406962168866,11
