mode,scenario,target_tpd,class_metering,total_cost_yuan,incremental_total_cost_yuan,ton_cost_yuan_per_t,incremental_ton_cost_yuan_per_t,self_use_gen_ratio,green_load_ratio,sell_ratio,E_buy_MWh,E_sell_MWh,E_self_use_MWh,E_curtail_MWh,topsis_score
continuous,W4P2,54,全满足,243049.2734328767,204379.2764328767,4500.912470979199,3784.8014154236425,0.9769676113098434,0.7479344327242115,0.02303238869015659,203.5984,14.24239999999999,604.1216000000001,0.0,0.8312262598952876
continuous,W5P2,54,全满足,262037.69903287664,223367.70203287664,4852.549982090308,4136.438926534753,0.9824369717933173,0.6821789729114048,0.01756302820668261,256.71039999999994,9.850400000000008,551.0095999999999,0.0,0.7640166075927521
continuous,W4P3,45,全满足,229941.76663287677,191271.76963287676,5109.81703628615,4250.483769619484,1.0,0.662457188021428,0.0,230.61600000000004,0.0,452.60400000000004,0.0,0.744734083607197
continuous,W3P2,54,全满足,275476.0930328767,236806.09603287673,5101.409130238458,4385.298074682903,0.9928651298154246,0.6419967315406329,0.007134870184575334,289.16640000000007,3.7264000000000053,518.5536,0.0,0.7259918565632316
continuous,W5P4,36,全满足,190813.3922328767,152143.3952328767,5300.372006468798,4226.205423135464,1.0,0.5914590492554408,0.0,228.26000000000002,0.0,330.4599999999999,0.0,0.6934266413959946
continuous,W3P2,45,全满足,201539.5771328768,162869.58013287678,4478.657269619484,3619.3240029528174,0.8535915600827144,0.6525186616316854,0.14640843991728558,237.4062,76.46619999999992,445.81380000000007,0.0,0.316774996069454
continuous,W4P1,63,全满足,247985.5256328768,209315.52863287678,3936.278184648838,3322.4687084583616,0.8019144190374538,0.754347686168501,0.1980855809625463,229.00200000000004,173.70599999999996,703.2180000000001,0.0,0.30795508789042003
continuous,W3P1,63,全满足,271961.74213287677,233291.74513287676,4316.853049728203,3703.0435735377264,0.8381637723477281,0.7020572397073651,0.1618362276522719,277.7482000000001,126.36819999999999,654.4717999999999,0.0,0.30428495074027206
continuous,W5P1,63,全满足,264525.23213287664,225855.23513287664,4198.813208458359,3585.003732267883,0.8063945229552612,0.7088195919418165,0.19360547704473896,271.4441999999999,158.6442,660.7758000000001,0.0,0.2604704847324497
continuous,W5P2,45,全满足,193122.64313287666,154452.64613287666,4291.614291841704,3432.281025175037,0.8137321256641584,0.667998302157431,0.18626787433584163,226.83020000000002,104.47020000000012,456.3897999999998,0.0,0.24245011461135385
