scenario_id,target_daily_NH3_t,offgrid_daily_NH3_t,offgrid_daily_cost,grid_connected_daily_cost,offgrid_unit_cost,grid_connected_unit_cost,grid_support_value,grid_support_value_daily,annual_weight_days,offgrid_annual_cost,grid_connected_annual_cost,grid_support_value_annual
W1P1,41.53844690354869,41.53844690354869,173541.68957872744,117339.78815946763,4177.856961809073,2824.847747243124,1353.0092145659492,56201.90141925981,15,2603125.3436809117,1760096.8223920143,843028.5212888971
W1P2,32.0372530120482,32.0372530120482,126520.8141909006,118009.14827263572,3949.1779817489382,3683.4977152459423,265.6802665029959,8511.665918264873,15,1897812.2128635088,1770137.224089536,127674.98877397309
W1P3,20.59317108433735,20.59317108433735,87519.70022945481,84711.18489118994,4249.937995028852,4113.5570886224095,136.3809064064426,2808.5153382648714,15,1312795.5034418222,1270667.7733678492,42127.73007397307
W1P4,16.009879518072292,16.009879518072292,72119.49766078012,72088.23414251524,4504.687095200817,4502.734331082286,1.9527641185304674,31.263518264880986,15,1081792.4649117019,1081323.5121377285,468.9527739732148
W2P1,37.896,37.896,151989.45125114155,116950.5227328767,4010.6990513811893,3086.0914801793515,924.6075712018378,35038.928518264845,15,2279841.768767123,1754257.8409931506,525583.9277739727
W2P2,25.682891566265056,25.682891566265056,100469.85741981625,100267.9017015513,3911.937141524408,3904.073707699448,7.863433824960339,201.9557182649587,15,1507047.8612972437,1504018.5255232693,3029.3357739743806
W2P3,13.715551807228914,13.715551807228914,60621.123814996965,65853.58151673216,4419.88223784376,4801.380392294781,-381.49815445102104,-5232.457701735191,15,909316.8572249545,987803.7227509824,-78486.86552602786
W2P4,10.148515662650603,10.148515662650603,46915.696537888536,64256.70773962372,4622.9121673972,6331.636061429803,-1708.7238940326024,-17341.011201735186,15,703735.4480683281,963850.6160943558,-260115.1680260278
W3P1,43.569395836058604,43.569395836058604,179745.3203044678,125492.37208465434,4125.494899695355,2880.2871758160854,1245.20772387927,54252.948219813465,15,2696179.804567017,1882385.581269815,813794.223297202
W3P2,33.24787471595624,33.24787471595624,131402.04965245124,120505.34353056448,3952.193960517695,3624.452526968042,327.7414335496528,10896.70612188676,15,1971030.7447867687,1807580.1529584671,163450.5918283014
W3P3,21.383132530120484,21.383132530120484,91698.49260053915,84364.39658227429,4288.356370207769,3945.3712622992816,342.9851079084874,7334.096018264856,15,1375477.389008087,1265465.9487341144,110011.44027397284
W3P4,16.710361445783132,16.710361445783132,76149.0680222259,70490.131803961,4556.99706252866,4218.348719306082,338.64834322257775,5658.936218264891,15,1142236.0203333884,1057351.977059415,84884.04327397337
W4P1,47.09313578825215,47.09313578825215,200066.81814612745,129241.70374801537,4248.322283011702,2744.385175986858,1503.937107024844,70825.11439811208,15,3001002.272191912,1938625.5562202304,1062376.7159716813
W4P2,40.09332947042985,40.09332947042985,157288.24436466175,147158.83990817383,3923.052698346417,3670.4070690040426,252.64562934237438,10129.404456487915,15,2359323.6654699263,2207382.5986226075,151941.06684731873
W4P3,28.36974939759036,28.36974939759036,117762.44066318974,109282.2265249248,4150.9862851729,3852.0688002343404,298.91748493855994,8480.214138264942,15,1766436.6099478463,1639233.397873872,127203.21207397414
W4P4,23.696978313253005,23.696978313253005,102213.0160848765,94788.66424661153,4313.335427568494,4000.031691534236,313.30373603425824,7424.351838264964,15,1533195.2412731475,1421829.963699173,111365.27757397445
W5P1,44.02381585306408,44.02381585306408,186273.28226754547,120208.79285424529,4231.193472398208,2730.540061667069,1500.6534107311386,66064.48941330018,15,2794099.234013182,1803131.8928136793,990967.3411995027
W5P2,35.75102181217292,35.75102181217292,141390.42262657525,129348.31798398912,3954.8638181421993,3618.031357636528,336.8324605056714,12042.104642586128,15,2120856.3393986286,1940224.7697598368,180631.5696387919
W5P3,24.172048192771083,24.172048192771083,102136.47428728612,94110.6323690212,4225.395939671805,3893.3660738425147,332.02986582929,8025.841918264923,15,1532047.1143092918,1411659.485535318,120387.62877397385
W5P4,19.499277108433734,19.499277108433734,86587.04970897287,80106.08969070797,4440.526139890728,4108.156894496406,332.3692453943222,6480.960018264901,15,1298805.745634593,1201591.3453606195,97214.40027397352
W6P1,41.430253988315705,41.430253988315705,166398.3217989826,124869.08495427687,4016.3480978395833,3013.9589535099844,1002.3891443295988,41529.23684470572,15,2495974.826984739,1873036.274314153,622938.5526705858
W6P2,28.66120481927711,28.66120481927711,113965.09115475601,103073.8170364911,3976.2840352791013,3596.2834670217753,380.000568257326,10891.274118264904,15,1709476.3673213401,1546107.2555473666,163369.11177397356
W6P3,16.678554216867468,16.678554216867468,74090.8241668042,68221.86994853933,4442.280979719104,4090.394710564584,351.88626915452005,5868.954218264873,15,1111362.3625020632,1023328.04922809,88034.3132739731
W6P4,12.505185542168674,12.505185542168674,59374.23634029818,59994.90028203334,4747.969243645575,4797.601769260027,-49.63252561445188,-620.6639417351616,15,890613.5451044727,899923.5042305001,-9309.959126027425
