mode,scenario_id,Q_day,M_self,M_green,M_green_2030,M_sell,min_policy_margin,violation_score
discrete,W1P1,72,0.2223544299809389,0.2928155045802104,0.2428155045802104,0.02235442998093895,0.02235442998093895,0.0
discrete,W1P1,63,0.19498873666909955,0.34962541031087063,0.29962541031087064,-0.005011263330900406,-0.005011263330900406,0.005011263330900406
discrete,W1P1,54,0.15173912130266054,0.40896820680433804,0.35896820680433805,-0.04826087869733939,-0.04826087869733939,0.04826087869733939
discrete,W1P1,45,-0.009252996991194196,0.3586601680278679,0.3086601680278679,-0.2092529969911942,-0.2092529969911942,0.2185059939823884
discrete,W1P1,36,-0.17268944187438645,0.28259915521191264,0.23259915521191266,-0.3726894418743865,-0.3726894418743865,0.545378883748773
discrete,W1P2,72,0.38519447381181393,0.1691439548792491,0.11914395487924911,0.1851944738118139,0.1691439548792491,0.0
discrete,W1P2,63,0.36030158742776286,0.21836218918281086,0.16836218918281087,0.1603015874277629,0.1603015874277629,0.0
discrete,W1P2,54,0.3240816845653055,0.27569652849997534,0.22569652849997535,0.12408168456530554,0.12408168456530554,0.0
discrete,W1P2,45,0.1649021072964444,0.2633643628699394,0.21336436286993943,-0.035097892703555594,-0.035097892703555594,0.035097892703555594
discrete,W1P2,36,-0.01133655535329603,0.23017217926689576,0.18017217926689577,-0.2113365553532961,-0.2113365553532961,0.22267311070659213
discrete,W1P3,72,0.4,0.019331516390339976,-0.030668483609660013,0.2,0.019331516390339976,0.0
discrete,W1P3,63,0.3685690070056069,0.050601574735577415,0.0006015747355774259,0.1685690070056068,0.050601574735577415,0.0
discrete,W1P3,54,0.2339754151800002,0.04841281632248795,-0.0015871836775120385,0.03397541518000022,0.03397541518000022,0.0
discrete,W1P3,45,0.16060620428871153,0.07566523228242722,0.02566523228242723,-0.039393795711288454,-0.039393795711288454,0.039393795711288454
discrete,W1P3,36,0.030710873507900582,0.0809235395189003,0.03092353951890031,-0.16928912649209943,-0.16928912649209943,0.16928912649209943
discrete,W1P4,72,0.4,-0.0418388977212506,-0.09183889772125059,0.2,-0.0418388977212506,0.0418388977212506
discrete,W1P4,63,0.3658135511209514,-0.017365214219819347,-0.06736521421981934,0.1658135511209513,-0.017365214219819347,0.017365214219819347
discrete,W1P4,54,0.2884767085526605,7.923537859649832e-05,-0.04992076462140349,0.08847670855266052,7.923537859649832e-05,0.0
discrete,W1P4,45,0.17121963021070075,0.0079415122508123,-0.04205848774918769,-0.028780369789299293,-0.028780369789299293,0.028780369789299293
discrete,W1P4,36,0.12385155642879142,0.05343213058419238,0.0034321305841923944,-0.07614844357120859,-0.07614844357120859,0.07614844357120859
discrete,W2P1,72,0.26399839733861086,0.2387349534408359,0.1887349534408359,0.06399839733861082,0.06399839733861082,0.0
discrete,W2P1,63,0.23695014751769616,0.2915661539121667,0.24156615391216674,0.0369501475176961,0.0369501475176961,0.0
discrete,W2P1,54,0.19392081395772387,0.34764720447679903,0.29764720447679904,-0.0060791860422762245,-0.0060791860422762245,0.0060791860422762245
discrete,W2P1,45,0.03736690018576316,0.31468282544422005,0.26468282544422006,-0.16263309981423696,-0.16263309981423696,0.16263309981423696
discrete,W2P1,36,-0.15158323519055888,0.22882230813287513,0.17882230813287514,-0.35158323519055884,-0.35158323519055884,0.5031664703811177
discrete,W2P2,72,0.4,0.07885532591414957,0.028855325914149577,0.2,0.07885532591414957,0.0
