scenario_id,wind_scenario,pv_scenario,Q_day,H_on,total_cost,incremental_total_cost,unit_cost,incremental_unit_cost,E_load,E_re,E_buy,E_sell,E_curtail,E_self,R_self,R_green,R_sell,class,pass_self,pass_green,pass_green_2030,pass_sell,on_hours
W1P1,1,1,72,24,390965.99163287674,352295.99463287677,5430.083217123288,4892.999925456622,1056.7199999999998,761.7639999999999,430.28,135.324,0.0,626.4399999999998,0.8223544299809389,0.5928155045802104,0.17764557001906106,全满足,True,True,True,True,0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23
W1P1,1,1,63,21,284907.40353287675,246237.40653287675,4522.339738617091,3908.530262426615,932.22,761.7639999999999,326.6262,156.1702,0.0,605.5937999999999,0.7949887366690995,0.6496254103108706,0.20501126333090042,部分满足,True,True,True,False,0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 21 22 23
W1P1,1,1,54,18,201838.21053287672,163168.21353287672,3737.744639497717,3021.6335839421613,807.7199999999999,761.7639999999999,235.0722,189.11620000000002,0.0,572.6477999999998,0.7517391213026605,0.708968206804338,0.2482608786973394,部分满足,True,True,True,False,0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 23
W1P1,1,1,45,15,139353.33153287673,100683.33453287673,3096.740700730594,2237.407434063927,683.22,761.7639999999999,233.2102,311.7542,0.0,450.00979999999987,0.5907470030088058,0.6586601680278679,0.4092529969911942,部分满足,False,True,True,False,0 1 2 3 4 5 6 9 10 11 12 13 14 15 23
W1P1,1,1,36,12,77295.78153287672,38625.78453287672,2147.105042579909,1072.9384592465756,558.72,761.7639999999999,233.2102,436.2542000000001,0.0,325.5097999999998,0.4273105581256135,0.5825991552119126,0.5726894418743865,部分满足,False,True,True,False,0 1 2 3 4 5 6 12 13 14 15 23
W1P2,1,2,72,24,489792.26853287674,451122.27153287677,6802.670396289955,6265.587104623289,1056.7199999999998,503.204,560.9662000000001,7.450200000000002,0.0,495.7538,0.9851944738118139,0.4691439548792491,0.014805526188186108,全满足,True,True,True,True,0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23
W1P2,1,2,63,21,380201.8404328767,341531.84343287675,6034.9498481409,5421.140371950424,932.22,503.204,448.9924,19.9764,0.0,483.2276,0.9603015874277628,0.5183621891828109,0.03969841257223711,全满足,True,True,True,True,0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 21 22 23
W1P2,1,2,54,18,293754.4074328767,255084.4104328767,5439.896433942161,4723.785378386606,807.7199999999999,503.204,342.71840000000003,38.2024,0.0,465.0016,0.9240816845653055,0.5756965284999753,0.07591831543469447,全满足,True,True,True,True,0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 23
W1P2,1,2,45,15,219799.55253287673,181129.55553287672,4884.434500730594,4025.101234063927,683.22,503.204,298.31819999999993,118.3022,0.0,384.9018,0.7649021072964444,0.5633643628699394,0.2350978927035556,部分满足,True,True,True,False,0 1 2 3 4 5 6 9 11 12 13 14 15 16 23
W1P2,1,2,36,12,148269.94053287667,109599.94353287667,4118.609459246574,3044.4428759132406,558.72,503.204,262.5022,206.98620000000003,0.0,296.2178,0.588663444646704,0.5301721792668957,0.4113365553532961,部分满足,False,True,True,False,0 1 2 3 4 5 6 11 12 13 15 23
W1P3,1,3,72,24,587763.4826328767,549093.4856328767,8163.381703234399,7626.298411567733,1056.7199999999998,337.44399999999996,719.2760000000001,0.0,0.0,337.44399999999996,1.0,0.31933151639033996,0.0,全满足,True,True,False,True,0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23
W1P3,1,3,63,21,477358.01453287667,438688.0175328767,7577.111341791693,6963.301865601217,932.22,337.44399999999996,605.3822,10.606200000000015,0.0,326.83779999999996,0.9685690070056069,0.3506015747355774,0.03143099299439319,全满足,True,True,True,True,0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 21 22 23
W1P3,1,3,54,18,381730.07063287665,343060.0736328767,7069.075382090308,6352.964326534753,807.72,337.44399999999996,526.3,56.024,0.0,281.41999999999996,0.8339754151800002,0.34841281632248794,0.1660245848199998,全满足,True,True,False,True,0 1 2 3 4 5 6 7 8 9 12 13 15 16 17 21 22 23
W1P3,1,3,45,15,292467.59063287673,253797.59363287673,6499.279791841705,5639.946525175038,683.22,337.44399999999996,426.5580000000001,80.78200000000001,0.0,256.6619999999999,0.7606062042887115,0.3756652322824272,0.23939379571128847,部分满足,True,True,True,False,0 1 2 3 4 5 6 7 8 9 13 15 16 17 23
W1P3,1,3,36,12,208856.8154328767,170186.8184328767,5801.578206468797,4727.411623135464,558.72,337.44399999999996,345.89040000000006,124.61439999999999,0.0,212.82959999999997,0.6307108735079006,0.3809235395189003,0.36928912649209944,部分满足,True,True,True,False,0 1 2 3 4 5 6 7 8 9 15 23
W1P4,1,4,72,24,627256.2186328768,588586.2216328768,8711.89192545662,8174.808633789955,1056.7199999999998,272.804,783.9159999999999,0.0,0.0,272.804,1.0,0.2581611022787494,0.0,部分满足,True,False,False,True,0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23
W1P4,1,4,63,21,516307.3905328767,477637.39353287674,8195.355405283757,7581.545929093281,932.22,272.804,668.7422000000001,9.3262,0.0,263.4778,0.9658135511209514,0.28263478578018064,0.034186448879048696,部分满足,True,False,False,True,0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 21 22 23
W1P4,1,4,54,18,410355.60663287673,371685.60963287676,7599.177900608828,6883.066845053273,807.72,272.804,565.34,30.424,0.0,242.37999999999997,0.8884767085526605,0.3000792353785965,0.1115232914473395,全满足,True,True,False,True,0 1 2 3 4 5 6 7 8 9 12 13 15 16 17 21 22 23
W1P4,1,4,45,15,316717.24653287674,278047.24953287677,7038.161034063927,6178.827767397262,683.22,272.804,472.82820000000004,62.4122,0.0,210.3918,0.7712196302107007,0.3079415122508123,0.2287803697892993,部分满足,True,True,False,False,0 1 2 3 4 5 6 7 8 9 15 16 17 22 23
W1P4,1,4,36,12,229052.59143287668,190382.59443287668,6362.571984246574,5288.4054009132415,558.72,272.804,361.2504,75.33439999999999,0.0,197.46959999999999,0.7238515564287914,0.35343213058419237,0.2761484435712086,部分满足,True,True,True,False,0 1 2 3 4 5 6 7 8 9 15 23
W2P1,2,1,72,24,420187.3116328767,381517.3146328767,5835.934883789954,5298.851592123287,1056.7199999999998,658.904,487.428,89.61199999999998,0.0,569.292,0.8639983973386108,0.5387349534408359,0.1360016026613892,全满足,True,True,True,True,0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23
W2P1,2,1,63,21,312845.03553287673,274175.03853287676,4965.794214807567,4351.984738617091,932.22,658.904,380.75020000000006,107.43419999999998,0.0,551.4698000000001,0.8369501475176961,0.5915661539121667,0.16304985248230391,全满足,True,True,True,True,0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 21 22 23
W2P1,2,1,54,18,228721.5654328767,190051.5684328767,4235.584545053272,3519.4734894977164,807.7199999999999,658.904,284.6023999999999,135.7864,0.0,523.1176,0.7939208139577238,0.647647204476799,0.20607918604227624,部分满足,True,True,True,False,0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 23
W2P1,2,1,45,15,161765.10843287667,123095.11143287667,3594.7801873972594,2735.446920730593,683.22,658.904,263.25639999999987,238.94039999999998,0.0,419.96360000000004,0.6373669001857631,0.61468282544422,0.36263309981423697,部分满足,True,True,True,False,0 1 2 3 4 5 6 9 10 11 12 13 14 15 23
W2P1,2,1,36,12,99707.55843287663,61037.56143287663,2769.6544009132394,1695.4878175799065,558.72,658.904,263.2563999999997,363.4404,0.0,295.4636,0.4484167648094411,0.5288223081328751,0.5515832351905589,部分满足,False,True,True,False,0 1 2 3 4 5 6 12 13 14 15 23
W2P2,2,2,72,24,530334.7026328767,491664.7056328767,7365.7597587899545,6828.676467123288,1056.7199999999998,400.34400000000005,656.376,0.0,0.0,400.34400000000005,1.0,0.37885532591414955,0.0,全满足,True,True,True,True,0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23
W2P2,2,2,63,21,419460.58653287677,380790.5895328768,6658.104548140901,6044.295071950425,932.22,400.34400000000005,541.3782,9.5022,0.0,390.84180000000003,0.976264912175529,0.419259187745382,0.023735087824470952,全满足,True,True,True,True,0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 21 22 23
W2P2,2,2,54,18,330674.0436328767,292004.04663287674,6123.593400608828,5407.482345053273,807.72,400.34400000000005,424.91200000000003,17.536,0.0,382.80800000000005,0.9561976700037967,0.47393651265289954,0.04380232999620326,全满足,True,True,True,True,0 1 2 3 4 5 6 8 9 10 11 12 13 14 15 16 17 23
