scenario_id,target_daily_NH3_t,offgrid_daily_NH3_t,offgrid_daily_cost,grid_connected_daily_cost,offgrid_unit_cost,grid_connected_unit_cost,grid_support_value,grid_support_value_daily,annual_weight_days,offgrid_annual_cost,grid_connected_annual_cost,grid_support_value_annual
W1P1,41.53844690354869,41.53844690354869,173529.44864940364,117339.78815946763,4177.562272665971,2824.847747243124,1352.7145254228471,56189.66048993601,15,2602941.7297410546,1760096.8223920143,842844.9073490401
W1P2,31.483015481275057,31.483015481275057,125673.20026050488,114187.52346398786,3991.7777360065998,3626.9563673753682,364.8213686312315,11485.676796517015,15,1885098.0039075732,1712812.851959818,172285.15194775522
W1P3,19.857918423031798,19.857918423031798,86395.25382609818,80002.47979765691,4350.6701954165765,4028.744508531553,321.9256868850234,6392.774028441272,15,1295928.8073914726,1200037.1969648537,95891.61042661908
W1P4,15.203667957607104,15.203667957607104,70886.53144764202,66724.36996698413,4662.462482428405,4388.702131159002,273.76035126940224,4162.161480657887,15,1063297.9717146303,1000865.5495047619,62432.42220986831
W2P1,37.89119035502008,37.89119035502008,151999.78300112413,116917.3588680074,4011.4808106308587,3085.607967777064,925.8728428537947,35082.42413311673,15,2279996.745016862,1753760.3830201111,526236.3619967509
W2P2,24.87684972099631,24.87684972099631,99237.15075778525,95105.84851608095,3989.136561532873,3823.0664084371847,166.0701530956885,4131.302241704296,15,1488557.2613667788,1426587.7277412142,61969.533625564436
W2P3,12.889508655492916,12.889508655492916,59357.82848827539,60563.435964384465,4605.12732290845,4698.661336371042,-93.53401346259216,-1205.6074761090786,15,890367.4273241308,908451.539465767,-18084.11214163618
W2P4,8.71982399290108,8.71982399290108,44730.75074428493,55107.08054821382,5129.7767914468,6319.746888592842,-1189.9700971460416,-10376.329803928886,15,670961.261164274,826606.2082232073,-155644.9470589333
W3P1,43.569395836058604,43.569395836058604,179728.6691933567,125492.37208465434,4125.112725217339,2880.2871758160854,1244.8255494012537,54236.29710870236,15,2695930.0379003505,1882385.581269815,813544.4566305354
W3P2,33.24787471595624,33.24787471595624,131402.04965245124,120505.34353056448,3952.193960517695,3624.452526968042,327.7414335496528,10896.70612188676,15,1971030.7447867687,1807580.1529584671,163450.5918283014
W3P3,21.383132530120484,21.383132530120484,91698.49260053915,84364.39658227429,4288.356370207769,3945.3712622992816,342.9851079084874,7334.096018264856,15,1375477.389008087,1265465.9487341144,110011.44027397284
W3P4,16.710361445783132,16.710361445783132,76149.0680222259,70490.131803961,4556.99706252866,4218.348719306082,338.64834322257775,5658.936218264891,15,1142236.0203333884,1057351.977059415,84884.04327397337
W4P1,47.09055671716884,47.09055671716884,200050.90700314014,129223.92032215907,4248.217072579292,2744.157838232672,1504.05923434662,70826.98668098106,15,3000763.605047102,1938358.804832386,1062404.800214716
W4P2,40.09332947042985,40.09332947042985,157288.24436466175,147158.83990817383,3923.052698346417,3670.4070690040426,252.64562934237438,10129.404456487915,15,2359323.6654699263,2207382.5986226075,151941.06684731873
W4P3,28.31929596953836,28.31929596953836,117685.2805538889,108959.1126809942,4155.657000812344,3847.521943984626,308.1350568277185,8726.167872894686,15,1765279.2083083333,1634386.690214913,130892.5180934203
W4P4,23.64652488520101,23.64652488520101,102135.85597557563,94440.77356505507,4319.2755160187,3993.854235391691,325.42128062700885,7695.082410520554,15,1532037.8396336343,1416611.603475826,115426.23615780831
W5P1,44.0251066794321,44.0251066794321,186337.00919830898,120217.69346778691,4232.516926196637,2730.6621729085077,1501.854753288129,66119.31573052207,15,2795055.1379746348,1803265.4020168036,991789.735957831
W5P2,35.75102181217292,35.75102181217292,141390.42262657525,129348.31798398912,3954.8638181421993,3618.031357636528,336.8324605056714,12042.104642586128,15,2120856.3393986286,1940224.7697598368,180631.5696387919
W5P3,24.172048192771083,24.172048192771083,102136.47428728612,94110.6323690212,4225.395939671805,3893.3660738425147,332.02986582929,8025.841918264923,15,1532047.1143092918,1411659.485535318,120387.62877397385
W5P4,19.499277108433734,19.499277108433734,86587.04970897287,80106.08969070797,4440.526139890728,4108.156894496406,332.3692453943222,6480.960018264901,15,1298805.745634593,1201591.3453606195,97214.40027397352
W6P1,41.430253988315705,41.430253988315705,166398.3217989826,124869.08495427687,4016.3480978395833,3013.9589535099844,1002.3891443295988,41529.23684470572,15,2495974.826984739,1873036.274314153,622938.5526705858
W6P2,28.66120481927711,28.66120481927711,113965.09115475601,103073.8170364911,3976.2840352791013,3596.2834670217753,380.000568257326,10891.274118264904,15,1709476.3673213401,1546107.2555473666,163369.11177397356
W6P3,16.678554216867468,16.678554216867468,74090.8241668042,68221.86994853933,4442.280979719104,4090.394710564584,351.88626915452005,5868.954218264873,15,1111362.3625020632,1023328.04922809,88034.3132739731
W6P4,11.884975901391526,11.884975901391526,58425.72906300299,56022.95370056832,4915.931639050471,4713.76249858521,202.16914046526108,2402.775362434666,15,876385.9359450449,840344.3055085249,36041.63043651999
