mode,Q_day,cost_mean,cost_max,cost_p90,cost_cvar90,violation_mean,violation_max,violation_p90,violation_cvar90,full_pass_count,partial_pass_count,all_fail_count
discrete,72,7228.33253789875,9318.906425456622,8752.844919901065,9026.374340271437,0.016349490246549053,0.1391778332954803,0.06715686274509794,0.10085295379413022,18,6,0
discrete,63,6575.459384979525,8848.85713861709,8233.932960839313,8539.695701580053,0.014243886559440344,0.12129947866383467,0.0500243436668079,0.08186186379466932,14,10,0
discrete,54,5970.538328540926,8288.996083942162,7725.065977090311,8019.170131473027,0.02373838912160964,0.10844129153667109,0.07895956006850646,0.09617083827665364,14,10,0
discrete,45,5363.3754239713335,7777.185720730594,7211.619399175038,7490.498606656519,0.10334497595497853,0.272728309408797,0.22098937823672268,0.24882748874933033,1,23,0
discrete,36,4585.146813644723,7216.48284257991,6566.586673135463,6894.524349987315,0.26255384178212454,0.5566753789381975,0.5440475299811413,0.5525427350772324,0,24,0
continuous,72,7228.33253789875,9318.906425456622,8752.844919901065,9026.374340271437,0.016349490246549053,0.1391778332954803,0.06715686274509794,0.10085295379413022,18,6,0
continuous,63,6464.903698074765,8826.245438617094,8179.318003696456,8491.92305554831,0.009588759448771031,0.11769968462380123,0.03606015747355769,0.07425643446110715,20,4,0
continuous,54,5719.502713031668,8169.364122831047,7415.75345431253,7779.863249991543,0.016473626807029153,0.09439061993969805,0.06721439990856343,0.08596815876381259,16,8,0
continuous,45,5070.5520067491125,7617.048394063928,6849.975325175037,7219.500626656519,0.05801969990380834,0.2727283094087965,0.22098937823672224,0.24882748874932994,16,8,0
continuous,36,4282.23442545028,7003.802159246579,6044.960823135467,6506.867449987319,0.1794088752883525,0.556675378938197,0.5440475299811407,0.552542735077232,10,14,0
