E_cap_MWh,P_cap_MW,duration_h,daily_NH3_t,storage_daily_cost,storage_unit_cost_yuan_per_t
0.0,0.0,nan,46.44563855421687,0.0,0.0
0.0,0.0,nan,46.44563855421687,0.0,0.0
0.0,0.0,nan,46.44563855421687,0.0,0.0
10.0,5.0,2.0,23.515590361445785,1907.4840182648402,81.11571893139426
10.0,10.0,1.0,47.03118072289157,1907.4840182648402,40.55785946569713
10.0,20.0,0.5,47.03118072289157,1964.7085388127855,41.774595249668046
20.0,10.0,2.0,23.808361445783135,3814.9680365296804,160.23648016337455
20.0,20.0,1.0,47.61672289156627,3814.9680365296804,80.11824008168728
20.0,40.0,0.5,47.61672289156627,3929.417077625571,82.52178728413789
30.0,15.0,2.0,24.101132530120484,5722.45205479452,237.43498558181295
30.0,30.0,1.0,48.20226506024097,5722.45205479452,118.71749279090648
30.0,60.0,0.5,48.20226506024097,5894.125616438356,122.27901757463367
40.0,20.0,2.0,24.393903614457834,7629.936073059361,312.7804468546491
40.0,40.0,1.0,48.78780722891567,7629.936073059361,156.39022342732454
40.0,80.0,0.5,48.78780722891567,7858.834155251142,161.0819301301443
50.0,25.0,2.0,24.686674698795184,9537.4200913242,386.33879239271005
50.0,50.0,1.0,49.37334939759037,9537.4200913242,193.16939619635502
50.0,100.0,0.5,49.37334939759037,9823.542694063926,198.96447808224568
60.0,30.0,2.0,24.979445783132533,11444.90410958904,458.17285975645046
60.0,60.0,1.0,49.958891566265066,11444.90410958904,229.08642987822523
60.0,120.0,0.5,49.958891566265066,11788.251232876712,235.959022774572
70.0,35.0,2.0,25.27221686746988,13352.388127853881,528.3425746888445
70.0,70.0,1.0,50.54443373493976,13352.388127853881,264.17128734442224
70.0,140.0,0.5,50.54443373493976,13752.959771689499,272.0964259647549
80.0,40.0,2.0,25.56498795180723,15259.872146118722,596.9051178465343
80.0,80.0,1.0,51.12997590361446,15259.872146118722,298.45255892326713
80.0,160.0,0.5,51.12997590361446,15717.668310502284,307.40613569096513
90.0,45.0,2.0,25.85775903614458,17167.35616438356,663.9150802042292
90.0,90.0,1.0,51.71551807228916,17167.35616438356,331.9575401021146
90.0,180.0,0.5,51.71551807228916,17682.376849315067,341.91626630517806
100.0,50.0,2.0,26.15053012048193,19074.8401826484,729.4246080200255
100.0,100.0,1.0,52.30106024096386,19074.8401826484,364.71230401001276
100.0,200.0,0.5,52.30106024096386,19647.085388127853,375.6536731303131
110.0,55.0,2.0,26.443301204819278,20982.32420091324,793.4835381706889
110.0,110.0,1.0,52.886602409638556,20982.32420091324,396.74176908534446
110.0,220.0,0.5,52.886602409638556,21611.793926940638,408.64402215790477
120.0,60.0,2.0,26.736072289156628,22889.80821917808,856.1395245950738
120.0,120.0,1.0,53.472144578313255,22889.80821917808,428.0697622975369
120.0,240.0,0.5,53.472144578313255,23576.502465753423,440.911855166463
130.0,65.0,2.0,27.028843373493977,24797.29223744292,917.4381565198812
130.0,130.0,1.0,54.057686746987955,24797.29223744292,458.7190782599406
130.0,260.0,0.5,54.057686746987955,25541.21100456621,472.4806506077388
140.0,70.0,2.0,27.321614457831327,26704.776255707762,977.423069084164
140.0,140.0,1.0,54.643228915662654,26704.776255707762,488.711534542082
140.0,280.0,0.5,54.643228915662654,27505.919543378997,503.3728805783445
150.0,75.0,2.0,27.614385542168677,28612.260273972603,1036.1360469267047
150.0,150.0,1.0,55.22877108433735,28612.260273972603,518.0680234633523
150.0,300.0,0.5,55.22877108433735,29470.628082191783,533.610064167253
160.0,80.0,2.0,27.907156626506026,30519.744292237443,1093.617121253048
160.0,160.0,1.0,55.81431325301205,30519.744292237443,546.808560626524
160.0,320.0,0.5,55.81431325301205,31435.336621004568,563.2128174453197
170.0,85.0,2.0,28.199927710843376,32427.228310502283,1149.9046608560432
170.0,170.0,1.0,56.39985542168675,32427.228310502283,574.9523304280216
170.0,340.0,0.5,56.39985542168675,33400.04515981735,592.2009003408622
180.0,90.0,2.0,28.245643373493976,34266.36032876712,1213.1555962688055
180.0,180.0,1.0,56.49128674698795,34266.36032876712,606.5777981344028
180.0,360.0,0.5,56.49128674698795,35294.35113863013,624.7751320784348
