E_cap_from_MWh,E_cap_to_MWh,marginal_unit_cost_reduction_yuan_per_t_per_MWh
0.0,10.0,-4.250054673072185
10.0,20.0,-4.1348531735652
20.0,30.0,-4.019849668785561
30.0,40.0,-3.9165302924391
40.0,50.0,-3.8137789379685385
50.0,60.0,-3.6696299023236407
60.0,70.0,-3.559450049430029
70.0,80.0,-3.4426884128863775
80.0,90.0,-3.325156090690649
90.0,100.0,-3.096258217303989
100.0,110.0,-3.22224583176025
110.0,120.0,-2.9024541322047357
120.0,130.0,-2.820360448993006
130.0,140.0,-2.7406043062181937
140.0,150.0,-2.8918169501378825
150.0,160.0,-3.0400650629655273
160.0,170.0,-3.2355415961678546
170.0,180.0,-3.2355415961678546
