scheme,unit_cost,full_pass_days,annual_NH3,storage_investment_proxy,grid_support_value,topsis_score,rank
continuous_Q63,6465.3115552176205,300,22680,0.0,0.0,0.5499478172386056,1
discrete_Q72,7228.33253789875,270,25920,0.0,0.0,0.537692729549936,2
continuous_Q72,7228.33253789875,270,25920,0.0,0.0,0.537692729549936,3
continuous_Q45,5081.823439804668,240,16200,0.0,0.0,0.535694419209517,4
continuous_Q54,5724.83149150389,240,19440,0.0,0.0,0.5340421474074055,5
discrete_Q54,5970.538328540927,210,19440,0.0,0.0,0.5217847835983057,6
discrete_Q63,6575.459384979525,210,22680,0.0,0.0,0.5200359770553477,7
continuous_Q36,4300.800838297501,165,12960,0.0,0.0,0.5111431775836763,8
discrete_Q45,5363.375423971334,15,16200,0.0,0.0,0.4535542084913343,9
offgrid_storage,4183.640155615365,0,10029.350036681868,10.0,466.9022458332986,0.4535330409617602,10
discrete_Q36,4585.146813644723,0,12960,0.0,0.0,0.4524367003804987,11
