场景编号,离网日合成氨产量(吨),离网吨氨成本(元/吨),联网吨氨成本(元/吨),电网支撑价值(元/吨)
W1P1,48.70404699695588,4357.783393825672,5430.083217123288,-1072.299823297616
W1P2,31.83645299040963,4769.187142987339,6802.670396289955,-2033.4832533026156
W1P3,19.85883703498927,5638.166764167385,8163.381703234399,-2525.214939067014
W1P4,15.16180006976395,6357.640735489246,8711.89192545662,-2354.2511899673746
W2P1,41.94650147267346,4412.435538079087,5835.934883789954,-1423.4993457108676
W2P2,24.27358321657996,5103.710084087886,7365.7597587899545,-2262.049674702069
W2P3,12.283099833087796,6838.762581084948,8770.396203234399,-1931.6336221494512
W2P4,7.321641226194267,9309.830594390714,9318.906425456622,-9.07583106590755
W3P1,50.219047687849475,4331.823389399987,5282.333793512177,-950.5104041121904
W3P2,33.31408379063093,4715.5606488330095,6664.22101434551,-1948.660365512501
W3P3,21.383132530120484,5484.19501637846,8046.887225456621,-2562.692209078161
W3P4,16.710361445783132,6087.231841630972,8595.397447678844,-2508.1656060478726
W4P1,56.13098118801251,4315.440378411627,4935.962453234399,-620.5220748227721
W4P2,40.17447603177111,4555.334284661359,6183.231507401066,-1627.897222739707
W4P3,28.31929596953836,5058.6023382675185,7535.694981012177,-2477.0926427446584
W4P4,23.64652488520101,5400.651167614383,8084.205203234401,-2683.554035620018
W5P1,52.52196815242335,4331.336335344045,5178.193099067732,-846.8567637236865
W5P2,36.017291288933194,4649.18003604781,6450.764153234399,-1801.5841171865886
W5P3,24.172048192771083,5283.261456560646,7797.324281012177,-2514.062824451531
W5P4,19.499277108433734,5751.896613447822,8345.834503234399,-2593.9378897865763
W6P1,46.038481547806164,4353.984489256597,5513.102446289955,-1159.117957033358
W6P2,28.66120481927711,4868.457843635868,7036.6737254566215,-2168.2158818207536
W6P3,16.678554216867468,5975.434029031217,8441.310169901066,-2465.876140869849
W6P4,11.885754283337945,7067.090040883625,8989.820392123287,-1922.730351239662
