运行模式,场景编号,日产氨量(吨),硬约束可行,软约束违规度,吨氨成本(元/吨)
离散开停机,W1P1,72,是,0.0,5430.083217123288
离散开停机,W1P1,63,否,0.005011263330900406,4522.339738617091
离散开停机,W1P1,54,否,0.04826087869733939,3737.744639497717
离散开停机,W1P1,45,否,0.2185059939823884,3096.740700730594
离散开停机,W1P1,36,否,0.545378883748773,2147.105042579909
离散开停机,W1P2,72,是,0.0,6802.670396289955
离散开停机,W1P2,63,是,0.0,6034.9498481409
离散开停机,W1P2,54,是,0.0,5439.896433942161
离散开停机,W1P2,45,否,0.035097892703555594,4884.434500730594
离散开停机,W1P2,36,否,0.22267311070659213,4118.609459246574
离散开停机,W1P3,72,是,0.0,8163.381703234399
离散开停机,W1P3,63,是,0.0,7577.111341791693
离散开停机,W1P3,54,是,0.0,7069.075382090308
离散开停机,W1P3,45,否,0.039393795711288454,6499.279791841705
离散开停机,W1P3,36,否,0.16928912649209943,5801.578206468797
离散开停机,W1P4,72,否,0.0418388977212506,8711.89192545662
离散开停机,W1P4,63,否,0.017365214219819347,8195.355405283757
离散开停机,W1P4,54,是,0.0,7599.177900608828
离散开停机,W1P4,45,否,0.028780369789299293,7038.161034063927
离散开停机,W1P4,36,否,0.07614844357120859,6362.571984246574
离散开停机,W2P1,72,是,0.0,5835.934883789954
离散开停机,W2P1,63,是,0.0,4965.794214807567
离散开停机,W2P1,54,否,0.0060791860422762245,4235.584545053272
离散开停机,W2P1,45,否,0.16263309981423696,3594.7801873972594
离散开停机,W2P1,36,否,0.5031664703811177,2769.6544009132394
离散开停机,W2P2,72,是,0.0,7365.7597587899545
离散开停机,W2P2,63,是,0.0,6658.104548140901
离散开停机,W2P2,54,是,0.0,6123.593400608828
离散开停机,W2P2,45,是,0.0,5527.297767397261
离散开停机,W2P2,36,否,0.14988959494834442,4795.759459246574
离散开停机,W2P3,72,否,0.0780074191838897,8770.396203234399
离散开停机,W2P3,63,否,0.056493317028169315,8250.466198934551
离散开停机,W2P3,54,否,0.0632771257366414,7779.018009868089
离散开停机,W2P3,45,否,0.2022324185445214,7285.9586985083715
离散开停机,W2P3,36,否,0.21194248577257724,6654.02153980213
离散开停机,W2P4,72,否,0.1391778332954803,9318.906425456622
离散开停机,W2P4,63,否,0.12129947866383467,8848.85713861709
离散开停机,W2P4,54,否,0.10844129153667109,8288.996083942162
离散开停机,W2P4,45,否,0.12203505715959323,7777.185720730594
离散开停机,W2P4,36,否,0.09368497367760353,7216.48284257991
离散开停机,W3P1,72,是,0.0,5282.333793512177
离散开停机,W3P1,63,否,0.004797909943138168,4439.057064013917
离散开停机,W3P1,54,否,0.05992059833000363,3683.489519127347
离散开停机,W3P1,45,否,0.22205368577429452,3007.9287362861487
离散开停机,W3P1,36,否,0.5409410378566673,2036.0900870243527
离散开停机,W3P2,72,是,0.0,6664.22101434551
离散开停机,W3P2,63,是,0.0,5962.295792585345
离散开停机,W3P2,54,是,0.0,5371.613169127347
离散开停机,W3P2,45,否,0.02419085547981928,4717.326689619483
离散开停机,W3P2,36,否,0.19951826606418016,3937.2337786910193
离散开停机,W3P3,72,是,0.0,8046.887225456621
离散开停机,W3P3,63,是,0.0,7529.548605283759
离散开停机,W3P3,54,是,0.0,7032.137745053273
离散开停机,W3P3,45,否,0.08169527656232467,6480.329427397259
离散开停机,W3P3,36,否,0.2027386962863234,5749.785725913242
离散开停机,W3P4,72,否,0.023786812022106085,8595.397447678844
离散开停机,W3P4,63,否,0.0048462809208126845,8112.118497347248
离散开停机,W3P4,54,是,0.0,7552.635558016236
离散开停机,W3P4,45,否,0.06268397971769218,6975.195869619482
离散开停机,W3P4,36,否,0.12884198985884615,6324.589028691019
离散开停机,W4P1,72,是,0.0,4935.962453234399
离散开停机,W4P1,63,否,0.018418015700334356,4054.660327505979
离散开停机,W4P1,54,否,0.09439061993969833,3272.9075098680873
离散开停机,W4P1,45,否,0.272728309408797,2548.432345175039
离散开停机,W4P1,36,否,0.5566753789381975,1461.7195981354646
离散开停机,W4P2,72,是,0.0,6183.231507401066
离散开停机,W4P2,63,是,0.0,5445.852737029789
离散开停机,W4P2,54,是,0.0,4794.593048756976
离散开停机,W4P2,45,否,0.062450595442166745,4142.131058508371
离散开停机,W4P2,36,否,0.24959085587129903,3300.130264802131
离散开停机,W4P3,72,是,0.0,7535.694981012177
离散开停机,W4P3,63,是,0.0,6968.870454490106
离散开停机,W4P3,54,是,0.0,6397.622124682902
离散开停机,W4P3,45,否,0.039118964922979005,5741.755322952816
离散开停机,W4P3,36,否,0.16780585235658535,4931.011762024353
离散开停机,W4P4,72,是,0.0,8084.205203234401
离散开停机,W4P4,63,是,0.0,7528.734313220266
离散开停机,W4P4,54,是,0.0,6912.584009868088
离散开停机,W4P4,45,否,0.02093854068934231,6247.092678508371
离散开停机,W4P4,36,否,0.10206514006454204,5492.00553980213
离散开停机,W5P1,72,是,0.0,5178.193099067732
离散开停机,W5P1,63,否,0.034930072490297975,4322.168365601217
离散开停机,W5P1,54,否,0.08568060335359151,3540.931370979198
离散开停机,W5P1,45,否,0.2517004710648994,2820.885758508372
离散开停机,W5P1,36,否,0.5555739425447266,1802.2863648021312
离散开停机,W5P2,72,是,0.0,6450.764153234399
离散开停机,W5P2,63,是,0.0,5720.474332267884
离散开停机,W5P2,54,是,0.0,5086.887132090308
离散开停机,W5P2,45,否,0.034009200156901925,4469.505111841704
离散开停机,W5P2,36,否,0.24093071354705292,3684.3785314687975
离散开停机,W5P3,72,是,0.0,7797.324281012177
离散开停机,W5P3,63,是,0.0,7246.463049728201
离散开停机,W5P3,54,是,0.0,6776.538596905126
离散开停机,W5P3,45,否,0.05523563654770941,6221.17987628615
离散开停机,W5P3,36,否,0.19746443938243485,5426.336753691019
离散开停机,W5P4,72,是,0.0,8345.834503234399
离散开停机,W5P4,63,是,0.0,7864.7071132202655
离散开停机,W5P4,54,是,0.0,7309.578670979198
离散开停机,W5P4,45,否,0.08057374568782916,6727.168111841704
离散开停机,W5P4,36,否,0.13354778187980398,6003.051281468797
离散开停机,W6P1,72,是,0.0,5513.102446289955
离散开停机,W6P1,63,是,0.0,4693.5480005218515
离散开停机,W6P1,54,否,0.031181401587124513,3977.964611719939
离散开停机,W6P1,45,否,0.18522158265340338,3321.8554473972595
离散开停机,W6P1,36,否,0.5183251369174027,2428.4984759132403
离散开停机,W6P2,72,是,0.0,7036.6737254566215
离散开停机,W6P2,63,是,0.0,6378.71136718852
离散开停机,W6P2,54,是,0.0,5861.4603394977175
离散开停机,W6P2,45,否,0.030087489063867073,5253.671560730593
离散开停机,W6P2,36,否,0.19695975503062124,4492.7303675799085
离散开停机,W6P3,72,否,0.024203194791430016,8441.310169901066
离散开停机,W6P3,63,否,0.010898929437257343,7971.073017982171
离散开停机,W6P3,54,否,0.012503499886539676,7459.393782090308
离散开停机,W6P3,45,否,0.15886042367895353,6934.362378508371
离散开停机,W6P3,36,否,0.2359744715893493,6294.824364802131
离散开停机,W6P4,72,否,0.08537360890302059,8989.820392123287
离散开停机,W6P4,63,否,0.067792795692004,8519.763767188519
离散开停机,W6P4,54,否,0.059986133808745595,7989.496300608828
离散开停机,W6P4,45,否,0.09005203836362169,7408.351400730593
离散开停机,W6P4,36,否,0.10216565528464155,6813.068667579908
连续调节,W1P1,72,是,0.0,5430.083217123288
连续调节,W1P1,63,是,0.0,4455.041295759949
连续调节,W1P1,54,否,0.05331231194963271,3764.180139497717
连续调节,W1P1,45,否,0.23349751366564941,3137.959500730595
连续调节,W1P1,36,否,0.5603704034320338,2198.628542579909
连续调节,W1P2,72,是,0.0,6802.670396289955
连续调节,W1P2,63,是,0.0,5950.547119569472
连续调节,W1P2,54,是,0.0,5240.392750608829
连续调节,W1P2,45,是,0.0,4608.688034063926
连续调节,W1P2,36,否,0.1924535576028808,4037.039209246574
连续调节,W1P3,72,是,0.0,8163.381703234399
连续调节,W1P3,63,是,0.0,7505.645756077409
连续调节,W1P3,54,是,0.0,6704.866882090308
连续调节,W1P3,45,是,0.0,6031.833591841704
连续调节,W1P3,36,是,0.0,5224.525431468796
连续调节,W1P4,72,否,0.0418388977212506,8711.89192545662
连续调节,W1P4,63,否,0.007360923387183305,8132.514581474234
连续调节,W1P4,54,是,0.0,7360.011456164384
连续调节,W1P4,45,是,0.0,6733.395280730594
连续调节,W1P4,36,是,0.0,5899.2357675799085
连续调节,W2P1,72,是,0.0,5835.934883789954
连续调节,W2P1,63,是,0.0,4918.327010045663
连续调节,W2P1,54,是,0.0,4222.077139497718
连续调节,W2P1,45,否,0.18293317387661912,3687.4359007305957
连续调节,W2P1,36,否,0.5437666185058824,2885.474042579909
连续调节,W2P2,72,是,0.0,7365.7597587899545
