运行模式,场景编号,日产氨量(吨),自发自用率裕度,绿电比例裕度,2030绿电比例裕度,上网比例裕度,最小政策裕度,违规程度
离散开停机,W1P1,72,0.2223544299809389,0.2928155045802104,0.2428155045802104,0.02235442998093895,0.02235442998093895,0.0
离散开停机,W1P1,63,0.19498873666909955,0.34962541031087063,0.29962541031087064,-0.005011263330900406,-0.005011263330900406,0.005011263330900406
离散开停机,W1P1,54,0.15173912130266054,0.40896820680433804,0.35896820680433805,-0.04826087869733939,-0.04826087869733939,0.04826087869733939
离散开停机,W1P1,45,-0.009252996991194196,0.3586601680278679,0.3086601680278679,-0.2092529969911942,-0.2092529969911942,0.2185059939823884
离散开停机,W1P1,36,-0.17268944187438645,0.28259915521191264,0.23259915521191266,-0.3726894418743865,-0.3726894418743865,0.545378883748773
离散开停机,W1P2,72,0.38519447381181393,0.1691439548792491,0.11914395487924911,0.1851944738118139,0.1691439548792491,0.0
离散开停机,W1P2,63,0.36030158742776286,0.21836218918281086,0.16836218918281087,0.1603015874277629,0.1603015874277629,0.0
离散开停机,W1P2,54,0.3240816845653055,0.27569652849997534,0.22569652849997535,0.12408168456530554,0.12408168456530554,0.0
离散开停机,W1P2,45,0.1649021072964444,0.2633643628699394,0.21336436286993943,-0.035097892703555594,-0.035097892703555594,0.035097892703555594
离散开停机,W1P2,36,-0.01133655535329603,0.23017217926689576,0.18017217926689577,-0.2113365553532961,-0.2113365553532961,0.22267311070659213
离散开停机,W1P3,72,0.4,0.019331516390339976,-0.030668483609660013,0.2,0.019331516390339976,0.0
离散开停机,W1P3,63,0.3685690070056069,0.050601574735577415,0.0006015747355774259,0.1685690070056068,0.050601574735577415,0.0
离散开停机,W1P3,54,0.2339754151800002,0.04841281632248795,-0.0015871836775120385,0.03397541518000022,0.03397541518000022,0.0
离散开停机,W1P3,45,0.16060620428871153,0.07566523228242722,0.02566523228242723,-0.039393795711288454,-0.039393795711288454,0.039393795711288454
离散开停机,W1P3,36,0.030710873507900582,0.0809235395189003,0.03092353951890031,-0.16928912649209943,-0.16928912649209943,0.16928912649209943
离散开停机,W1P4,72,0.4,-0.0418388977212506,-0.09183889772125059,0.2,-0.0418388977212506,0.0418388977212506
离散开停机,W1P4,63,0.3658135511209514,-0.017365214219819347,-0.06736521421981934,0.1658135511209513,-0.017365214219819347,0.017365214219819347
离散开停机,W1P4,54,0.2884767085526605,7.923537859649832e-05,-0.04992076462140349,0.08847670855266052,7.923537859649832e-05,0.0
离散开停机,W1P4,45,0.17121963021070075,0.0079415122508123,-0.04205848774918769,-0.028780369789299293,-0.028780369789299293,0.028780369789299293
离散开停机,W1P4,36,0.12385155642879142,0.05343213058419238,0.0034321305841923944,-0.07614844357120859,-0.07614844357120859,0.07614844357120859
离散开停机,W2P1,72,0.26399839733861086,0.2387349534408359,0.1887349534408359,0.06399839733861082,0.06399839733861082,0.0
离散开停机,W2P1,63,0.23695014751769616,0.2915661539121667,0.24156615391216674,0.0369501475176961,0.0369501475176961,0.0
离散开停机,W2P1,54,0.19392081395772387,0.34764720447679903,0.29764720447679904,-0.0060791860422762245,-0.0060791860422762245,0.0060791860422762245
离散开停机,W2P1,45,0.03736690018576316,0.31468282544422005,0.26468282544422006,-0.16263309981423696,-0.16263309981423696,0.16263309981423696
离散开停机,W2P1,36,-0.15158323519055888,0.22882230813287513,0.17882230813287514,-0.35158323519055884,-0.35158323519055884,0.5031664703811177
离散开停机,W2P2,72,0.4,0.07885532591414957,0.028855325914149577,0.2,0.07885532591414957,0.0
离散开停机,W2P2,63,0.37626491217552904,0.11925918774538202,0.06925918774538203,0.17626491217552906,0.11925918774538202,0.0
离散开停机,W2P2,54,0.35619767000379676,0.17393651265289956,0.12393651265289957,0.15619767000379675,0.15619767000379675,0.0
离散开停机,W2P2,45,0.2291514297703976,0.18585492227979283,0.13585492227979284,0.029151429770397475,0.029151429770397475,0.0
离散开停机,W2P2,36,0.05011040505165554,0.16582867983963345,0.11582867983963346,-0.14988959494834442,-0.14988959494834442,0.14988959494834442
离散开停机,W2P3,72,0.4,-0.0780074191838897,-0.1280074191838897,0.2,-0.0780074191838897,0.0780074191838897
离散开停机,W2P3,63,0.3676781025133854,-0.056493317028169315,-0.1064933170281693,0.1676781025133854,-0.056493317028169315,0.056493317028169315
离散开停机,W2P3,54,0.21508457524809876,-0.0632771257366414,-0.1132771257366414,0.01508457524809878,-0.0632771257366414,0.0632771257366414
离散开停机,W2P3,45,0.0683047437165365,-0.07053716226105794,-0.12053716226105793,-0.13169525628346346,-0.13169525628346346,0.2022324185445214
离散开停机,W2P3,36,0.02545442144391763,-0.03739690721649491,-0.0873969072164949,-0.17454557855608233,-0.17454557855608233,0.21194248577257724
离散开停机,W2P4,72,0.4,-0.1391778332954803,-0.1891778332954803,0.2,-0.1391778332954803,0.1391778332954803
离散开停机,W2P4,63,0.38025349526902985,-0.12129947866383467,-0.17129947866383466,0.1802534952690298,-0.12129947866383467,0.12129947866383467
离散开停机,W2P4,54,0.3104516781998776,-0.10844129153667109,-0.15844129153667108,0.11045167819987763,-0.10844129153667109,0.10844129153667109
离散开停机,W2P4,45,0.18316151202749142,-0.10519656918708467,-0.15519656918708466,-0.01683848797250856,-0.10519656918708467,0.12203505715959323
