日产氨量(吨),时刻,时间,开停机状态,电氢氨负荷(MW),网购功率(MW),上网功率(MW)
72,0,0:00-1:00,1,41.5,31.9658,0.0
72,1,1:00-2:00,1,41.5,27.4478,0.0
72,2,2:00-3:00,1,41.5,28.9878,0.0
72,3,3:00-4:00,1,41.5,27.418,0.0
72,4,4:00-5:00,1,41.5,23.9562,0.0
72,5,5:00-6:00,1,41.5,32.2222,0.0
72,6,6:00-7:00,1,41.5,13.516199999999998,0.0
72,7,7:00-8:00,1,41.5,9.098199999999991,0.0
72,8,8:00-9:00,1,41.5,2.3817999999999984,0.0
72,9,9:00-10:00,1,41.5,0.0,3.323999999999998
72,10,10:00-11:00,1,41.5,0.0,4.995800000000003
72,11,11:00-12:00,1,41.5,0.0,7.955999999999996
72,12,12:00-13:00,1,41.5,0.0,15.840199999999996
72,13,13:00-14:00,1,41.5,0.0,5.398200000000003
72,14,14:00-15:00,1,41.5,0.0,3.1659999999999897
72,15,15:00-16:00,1,41.5,6.412199999999999,0.0
72,16,16:00-17:00,1,41.5,20.945999999999998,0.0
72,17,17:00-18:00,1,41.5,33.0918,0.0
72,18,18:00-19:00,1,41.5,38.374,0.0
72,19,19:00-20:00,1,41.5,39.8678,0.0
72,20,20:00-21:00,1,41.5,39.668,0.0
72,21,21:00-22:00,1,41.5,38.2502,0.0
72,22,22:00-23:00,1,41.5,40.56,0.0
72,23,23:00-24:00,1,41.5,39.7882,0.0
63,0,0:00-1:00,1,41.5,31.9658,0.0
63,1,1:00-2:00,1,41.5,27.4478,0.0
63,2,2:00-3:00,1,41.5,28.9878,0.0
63,3,3:00-4:00,1,41.5,27.418,0.0
63,4,4:00-5:00,1,41.5,23.9562,0.0
63,5,5:00-6:00,1,41.5,32.2222,0.0
63,6,6:00-7:00,1,41.5,13.516199999999998,0.0
63,7,7:00-8:00,1,41.5,9.098199999999991,0.0
63,8,8:00-9:00,1,41.5,2.3817999999999984,0.0
63,9,9:00-10:00,1,41.5,0.0,3.323999999999998
63,10,10:00-11:00,1,41.5,0.0,4.995800000000003
63,11,11:00-12:00,1,41.5,0.0,7.955999999999996
63,12,12:00-13:00,1,41.5,0.0,15.840199999999996
63,13,13:00-14:00,1,41.5,0.0,5.398200000000003
63,14,14:00-15:00,1,41.5,0.0,3.1659999999999897
63,15,15:00-16:00,1,41.5,6.412199999999999,0.0
63,16,16:00-17:00,1,41.5,20.945999999999998,0.0
63,17,17:00-18:00,1,41.5,33.0918,0.0
63,18,18:00-19:00,0,0.0,0.0,3.126
63,19,19:00-20:00,0,0.0,0.0,1.6321999999999997
63,20,20:00-21:00,0,0.0,0.0,1.8319999999999999
63,21,21:00-22:00,1,41.5,38.250200000000014,0.0
63,22,22:00-23:00,1,41.5,40.56,0.0
63,23,23:00-24:00,1,41.5,39.7882,0.0
54,0,0:00-1:00,1,41.5,31.9658,0.0
54,1,1:00-2:00,1,41.5,27.4478,0.0
54,2,2:00-3:00,1,41.5,28.9878,0.0
54,3,3:00-4:00,1,41.5,27.418,0.0
54,4,4:00-5:00,1,41.5,23.9562,0.0
54,5,5:00-6:00,1,41.5,32.2222,0.0
54,6,6:00-7:00,1,41.5,13.516199999999998,0.0
54,7,7:00-8:00,1,41.5,9.098199999999991,0.0
54,8,8:00-9:00,1,41.5,2.3817999999999984,0.0
54,9,9:00-10:00,1,41.5,0.0,3.323999999999998
54,10,10:00-11:00,1,41.5,0.0,4.995800000000003
54,11,11:00-12:00,1,41.5,0.0,7.955999999999996
54,12,12:00-13:00,1,41.5,0.0,15.840199999999996
54,13,13:00-14:00,1,41.5,0.0,5.398200000000003
54,14,14:00-15:00,1,41.5,0.0,3.1659999999999897
54,15,15:00-16:00,1,41.5,6.412199999999999,0.0
54,16,16:00-17:00,1,41.5,20.945999999999998,0.0
54,17,17:00-18:00,0,0.0,0.0,8.4082
54,18,18:00-19:00,0,0.0,0.0,3.126
54,19,19:00-20:00,0,0.0,0.0,1.6321999999999997
54,20,20:00-21:00,0,0.0,0.0,1.8319999999999999
54,21,21:00-22:00,0,0.0,0.0,3.2497999999999823
54,22,22:00-23:00,0,0.0,0.0,0.94
54,23,23:00-24:00,1,41.5,39.7882,0.0
45,0,0:00-1:00,1,41.5,31.9658,0.0
45,1,1:00-2:00,1,41.5,27.4478,0.0
45,2,2:00-3:00,1,41.5,28.9878,0.0
45,3,3:00-4:00,1,41.5,27.418,0.0
45,4,4:00-5:00,1,41.5,23.9562,0.0
45,5,5:00-6:00,1,41.5,32.2222,0.0
45,6,6:00-7:00,1,41.5,13.516199999999998,0.0
45,7,7:00-8:00,0,0.0,0.0,32.40180000000001
45,8,8:00-9:00,1,41.5,2.3817999999999984,0.0
45,9,9:00-10:00,1,41.5,0.0,3.323999999999998
45,10,10:00-11:00,1,41.5,0.0,4.995800000000003
45,11,11:00-12:00,1,41.5,0.0,7.955999999999996
45,12,12:00-13:00,1,41.5,0.0,15.840199999999996
45,13,13:00-14:00,1,41.5,0.0,5.398200000000003
45,14,14:00-15:00,1,41.5,0.0,3.1659999999999897
45,15,15:00-16:00,0,0.0,0.0,35.0878
45,16,16:00-17:00,0,0.0,0.0,20.554000000000002
45,17,17:00-18:00,0,0.0,0.0,8.4082
45,18,18:00-19:00,0,0.0,0.0,3.126
45,19,19:00-20:00,0,0.0,0.0,1.6321999999999997
45,20,20:00-21:00,0,0.0,0.0,1.8319999999999999
45,21,21:00-22:00,0,0.0,0.0,3.2497999999999823
45,22,22:00-23:00,0,0.0,0.0,0.94
45,23,23:00-24:00,1,41.5,39.7882,0.0
36,0,0:00-1:00,1,41.5,31.9658,0.0
36,1,1:00-2:00,1,41.5,27.4478,0.0
36,2,2:00-3:00,1,41.5,28.9878,0.0
36,3,3:00-4:00,1,41.5,27.418,0.0
36,4,4:00-5:00,1,41.5,23.9562,0.0
36,5,5:00-6:00,1,41.5,32.2222,0.0
36,6,6:00-7:00,1,41.5,13.516199999999998,0.0
36,7,7:00-8:00,0,0.0,0.0,32.40180000000001
36,8,8:00-9:00,0,0.0,0.0,39.1182
36,9,9:00-10:00,0,0.0,0.0,44.824
36,10,10:00-11:00,0,0.0,0.0,46.4958
36,11,11:00-12:00,1,41.5,0.0,7.956000000000015
36,12,12:00-13:00,1,41.5,0.0,15.840199999999996
36,13,13:00-14:00,1,41.5,0.0,5.398200000000003
36,14,14:00-15:00,1,41.5,0.0,3.1659999999999897
36,15,15:00-16:00,0,0.0,0.0,35.0878
36,16,16:00-17:00,0,0.0,0.0,20.554000000000002
36,17,17:00-18:00,0,0.0,0.0,8.4082
36,18,18:00-19:00,0,0.0,0.0,3.126
36,19,19:00-20:00,0,0.0,0.0,1.6321999999999997
36,20,20:00-21:00,0,0.0,0.0,1.8319999999999999
36,21,21:00-22:00,0,0.0,0.0,3.249799999999964
36,22,22:00-23:00,0,0.0,0.0,0.94
36,23,23:00-24:00,1,41.5,39.7882,0.0
