场景编号,日产氨量(吨),日总成本(元),日增量成本(元),吨氨成本(元/吨),增量吨氨成本(元/吨),总用电量(MWh),新能源发电量(MWh),网购电量(MWh),上网电量(MWh),弃电量(MWh),自用新能源电量(MWh),自发自用率,绿电用电比例,上网比例,合格情况,自发自用率达标,绿电占比达标,2030绿电占比达标,上网比例达标,负荷率序列,网购功率序列(MW),上网功率序列(MW)
W1P1,72,390965.99163287674,352295.99463287677,5430.083217123288,4892.999925456622,1056.7199999999998,761.7639999999999,430.28,135.324,0.0,626.4399999999998,0.8223544299809389,0.5928155045802104,0.17764557001906106,全满足,是,是,是,是,1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1,33.0938 31.6958 27.1478 29.178 27.6082 24.4062 20.2922 0 0 0 0 0 0 0 0 0 1.862 13.9358 26.162 37.8838 39.608 39.4382 38.18 39.7882,0 0 0 0 0 0 0 3.5338 9.4622 14.708 18.7638 17.376 20.1162 26.6502 14.058 10.6558 0 0 0 0 0 0 0 0
W1P1,63,280667.6016328768,241997.60463287678,4455.041295759949,3841.231819569473,932.22,761.7639999999999,305.7800000000001,135.324,0.0,626.4399999999998,0.8223544299809389,0.671987299135397,0.17764557001906106,全满足,是,是,是,是,1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0.36959 0.1 0.1 0.43041 1 1,33.0938 31.6958 27.1478 29.178 27.6082 24.4062 20.2922 0 0 0 0 0 0 0 0 0 1.862 13.9358 0 0.5338 2.258 15.8002 38.18 39.7882,0 0 0 0 0 0 0 3.5338 9.4622 14.708 18.7638 17.376 20.1162 26.6502 14.058 10.6558 0 0 0 0 0 0 0 0
W1P1,54,203265.7275328767,164595.7305328767,3764.180139497717,3048.0690839421613,807.72,761.7639999999999,238.92020000000002,192.9642,0.0,568.7997999999999,0.7466876880503672,0.7042041796662208,0.2533123119496327,部分满足,是,是,是,否,1 1 1 1 1 1 1 1 1 1 1 1 1 1 0.51108 0.1 0.955133 0.664198 0.36959 0.1 0.1 0.1 0.1 1,33.0938 31.6958 27.1478 29.178 27.6082 24.4062 20.2922 0 0 0 0 0 0 0 0 0 0 0 0 0.5338 2.258 2.0882 0.83 39.7882,0 0 0 0 0 0 0 3.5338 9.4622 14.708 18.7638 17.376 20.1162 26.6502 34.3482 48.0058 0 0 0 0 0 0 0 0
W1P1,45,141208.17753287678,102538.18053287678,3137.959500730595,2278.6262340639287,683.22,761.7639999999999,238.92020000000002,317.46419999999983,0.0,444.29980000000006,0.5832512431671752,0.6503026843476479,0.4167487568328247,部分满足,否,是,是,否,1 1 1 1 1 1 1 1 1 1 1 1 1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 1,33.0938 31.6958 27.1478 29.178 27.6082 24.4062 20.2922 0 0 0 0 0 0 0 0 0 0 0 0 0.5338 2.258 2.0882 0.83 39.7882,0 0 0 0 0 0 0 3.5338 9.4622 14.708 18.7638 17.376 20.1162 64.0002 51.408 48.0058 35.488 23.4142 11.188 0 0 0 0 0
W1P1,36,79150.62753287674,40480.63053287674,2198.628542579909,1124.461959246576,558.72,761.7639999999999,238.92020000000002,441.9641999999999,0.0,319.7998,0.41981479828398305,0.5723793671248568,0.580185201716017,部分满足,否,是,是,否,1 1 1 1 1 1 1 1 1 0.7 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 1,33.0938 31.6958 27.1478 29.178 27.6082 24.4062 20.2922 0 0 0 0 0 0 0 0 0 0 0 0 0.5338 2.258 2.0882 0.83 39.7882,0 0 0 0 0 0 0 3.5338 9.4622 27.158 56.1138 54.726 57.4662 64.0002 51.408 48.0058 35.488 23.4142 11.188 0 0 0 0 0
W1P2,72,489792.26853287674,451122.27153287677,6802.670396289955,6265.587104623289,1056.7199999999998,503.204,560.9662000000001,7.450200000000002,0.0,495.7538,0.9851944738118139,0.4691439548792491,0.014805526188186108,全满足,是,是,是,是,1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1,33.0938 31.6958 27.1478 29.178 27.6082 24.4062 34.3722 18.8662 16.7778 13.452 8.7562 6.304 0.3638 0 6.422 8.5442 15.942 28.6558 34.482 37.8838 39.608 39.4382 38.18 39.7882,0 0 0 0 0 0 0 0 0 0 0 0 0 7.4502 0 0 0 0 0 0 0 0 0 0
W1P2,63,374884.4685328767,336214.4715328767,5950.547119569472,5336.737643378996,932.22,503.204,436.46619999999996,7.450200000000002,0.0,495.7538,0.9851944738118139,0.5317991461243055,0.014805526188186108,全满足,是,是,是,是,1 1 1 1 1 1 1 1 1 1 0.789007 0.848096 0.991234 1 0.845253 1 1 1 0.169108 0.1 0.257301 1 1 1,33.0938 31.6958 27.1478 29.178 27.6082 24.4062 34.3722 18.8662 16.7778 13.452 0 0 0 0 0 8.5442 15.942 28.6558 0 0.5338 8.786 39.4382 38.18 39.7882,0 0 0 0 0 0 0 0 0 0 0 0 0 7.4502 0 0 0 0 0 0 0 0 0 0
W1P2,54,282981.2085328768,244311.2115328768,5240.392750608829,4524.281695053274,807.72,503.204,311.9662000000001,7.450200000000002,0.0,495.7538,0.9851944738118139,0.6137693755261724,0.014805526188186108,全满足,是,是,是,是,1 1 1 1 1 1 1 0.545393 0.595716 0.675855 0.789007 0.848096 0.991234 1 0.845253 0.794116 0.615855 0.309499 0.169108 0.1 0.1 0.620867 1 1,33.0938 31.6958 27.1478 29.178 27.6082 24.4062 34.3722 0 0 0 0 0 0 0 0 0 0 0 0 0.5338 2.258 23.7042 38.18 39.7882,0 0 0 0 0 0 0 0 0 0 0 0 0 7.4502 0 0 0 0 0 0 0 0 0 0
W1P2,45,207390.96153287668,168720.96453287668,4608.688034063926,3749.3547673972594,683.22,503.204,253.0002,72.98420000000004,0.0,430.21979999999996,0.8549610098488882,0.6296943883375778,0.14503899015111177,全满足,是,是,是,是,1 1 1 1 1 1 1 0.545393 0.1 0.675855 0.789007 0.655913 0.1 1 0.845253 0.794116 0.615855 0.309499 0.169108 0.1 0.1 0.1 0.1 1,33.0938 31.6958 27.1478 29.178 27.6082 24.4062 34.3722 0 0 0 0 0 0 0 0 0 0 0 0 0.5338 2.258 2.0882 0.83 39.7882,0 0 0 0 0 0 0 0 20.5722 0 0 7.9756 36.9862 7.4502 0 0 0 0 0 0 0 0 0 0
W1P2,36,145333.41153287666,106663.41453287666,4037.039209246574,2962.8726259132404,558.72,503.204,253.0002,197.48420000000004,0.0,305.71979999999996,0.6075464423971192,0.5471789089347078,0.3924535576028808,部分满足,是,是,是,否,1 1 1 1 1 1 1 0.545393 0.1 0.675855 0.1 0.1 0.1 0.1 0.845253 0.1 0.615855 0.148535 0.169108 0.1 0.1 0.1 0.1 1,33.0938 31.6958 27.1478 29.178 27.6082 24.4062 34.3722 0 0 0 0 0 0 0 0 0 0 0 0 0.5338 2.258 2.0882 0.83 39.7882,0 0 0 0 0 0 0 0 20.5722 0 28.5938 31.046 36.9862 44.8002 0 28.8058 0 6.68 0 0 0 0 0 0
