场景编号,离网日合成氨产量(吨),离网吨氨成本(元/吨),联网吨氨成本(元/吨),电网支撑价值(元/吨)
W1P1,41.53844690354869,4177.562272665971,5430.083217123288,-1252.5209444573165
W1P2,31.483015481275057,3991.7777360065998,6802.670396289955,-2810.892660283355
W1P3,19.857918423031798,4350.6701954165765,8163.381703234399,-3812.711507817822
W1P4,15.203667957607104,4662.462482428405,8711.89192545662,-4049.429443028216
W2P1,37.89119035502008,4011.4808106308587,5835.934883789954,-1824.4540731590955
W2P2,24.87684972099631,3989.136561532873,7365.7597587899545,-3376.6231972570813
W2P3,12.889508655492916,4605.12732290845,8770.396203234399,-4165.268880325949
W2P4,8.71982399290108,5129.7767914468,9318.906425456622,-4189.1296340098215
W3P1,43.569395836058604,4125.112725217339,5282.333793512177,-1157.221068294838
W3P2,33.24787471595624,3952.193960517695,6664.22101434551,-2712.0270538278155
W3P3,21.383132530120484,4288.356370207769,8046.887225456621,-3758.5308552488523
W3P4,16.710361445783132,4556.99706252866,8595.397447678844,-4038.400385150185
W4P1,47.09055671716884,4248.217072579292,4935.962453234399,-687.7453806551066
W4P2,40.09332947042985,3923.052698346417,6183.231507401066,-2260.178809054649
W4P3,28.31929596953836,4155.657000812344,7535.694981012177,-3380.0379801998324
W4P4,23.64652488520101,4319.2755160187,8084.205203234401,-3764.929687215701
W5P1,44.0251066794321,4232.516926196637,5178.193099067732,-945.6761728710953
W5P2,35.75102181217292,3954.8638181421993,6450.764153234399,-2495.9003350921994
W5P3,24.172048192771083,4225.395939671805,7797.324281012177,-3571.9283413403728
W5P4,19.499277108433734,4440.526139890728,8345.834503234399,-3905.308363343671
W6P1,41.430253988315705,4016.3480978395833,5513.102446289955,-1496.7543484503717
W6P2,28.66120481927711,3976.2840352791013,7036.6737254566215,-3060.38969017752
W6P3,16.678554216867468,4442.280979719104,8441.310169901066,-3999.029190181962
W6P4,11.884975901391526,4915.931639050471,8989.820392123287,-4073.888753072816
