设计场景,扩容基准方法,扩容后风电装机(MW),扩容后光伏装机(MW),储能容量(MWh),储能功率(MW),储能时长(小时),日合成氨产量(吨),平均日合成氨产量(吨),产量提升(吨/日),平均产量提升(吨/日),最坏场景产量缺口(吨/日),最坏场景编号,弃电量(MWh),平均弃电量(MWh),弃电减少量(MWh),储能充电量(MWh),储能放电量(MWh),最大荷电量(MWh),未满足负荷电量(MWh),储能日成本(元),储能单位成本(元/吨),新增吨氨储能成本(元/吨)
全部场景Minimax,日能量Minimax固定比例含储能损耗裕度,307.064113494467,491.3025815911472,0.0,0.0,nan,62.17772970146367,69.90564581971019,0.0,0.0,9.822270298536331,W2P4,5678.166306150871,2626.125493874845,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan
全部场景Minimax,日能量Minimax固定比例含储能损耗裕度,307.064113494467,491.3025815911472,10.0,2.5,4.0,63.4715968122731,70.17855463042666,1.2938671108094297,0.27290881071647277,8.528403187726902,W2P4,5669.657459523098,2616.561644149245,9.563849725599828,28.896292477787835,23.107681300432674,10.0,0.0,2115.4469430427184,33.32903297359092,1634.980072813905
全部场景Minimax,日能量Minimax固定比例含储能损耗裕度,307.064113494467,491.3025815911472,20.0,5.0,4.0,64.72232013864536,70.42664216418503,2.5445904371816894,0.5209963444748382,7.277679861354642,W2P4,5662.371684007676,2607.3080050384037,18.817488836441125,58.03856455512976,46.428191817257435,20.0,0.0,4233.353682080978,65.4079407693122,1663.6679994638787
全部场景Minimax,日能量Minimax固定比例含储能损耗裕度,307.064113494467,491.3025815911472,30.0,7.5,4.0,65.72747241126257,70.65719352772068,3.549742709798899,0.7515477080104915,6.272527588737432,W2P4,5656.370213256505,2598.3264808723766,27.79901300246857,86.95170344330465,69.54910040164805,30.0,0.0,6348.969089227567,96.59536349582271,1788.5716256847388
全部场景Minimax,日能量Minimax固定比例含储能损耗裕度,307.064113494467,491.3025815911472,40.0,10.0,4.0,66.55108585025164,70.87776953414779,4.37335614878797,0.9721237144376005,5.4489141497483615,W2P4,5650.368742505335,2589.5358246995506,36.58966917529439,115.56669569314785,92.42473790090685,40.0,0.0,8461.60302999084,127.14447738734897,1934.8076722120802
全部场景Minimax,日能量Minimax固定比例含储能损耗裕度,307.064113494467,491.3025815911472,50.0,12.5,4.0,67.2029703047516,71.07613297583023,5.0252406032879335,1.1704871561200463,4.797029695248398,W2P1,5644.367271754165,2581.2607137646705,44.86478011017425,143.06327710778442,114.39023599060408,50.0,0.0,10563.052862402044,157.18133907624588,2101.9994257570097
全部场景Minimax,日能量Minimax固定比例含储能损耗裕度,307.064113494467,491.3025815911472,60.0,15.0,4.0,67.84946710321985,71.2663591709004,5.671737401756182,1.3607133511902134,4.150532896780149,W2P1,5638.365801002994,2573.1217523856876,53.00374148915716,170.40702863811728,136.22648850709143,60.0,0.0,12662.974395970214,186.63336554590688,2232.6446905051143
全部场景Minimax,日能量Minimax固定比例含储能损耗裕度,307.064113494467,491.3025815911472,70.0,17.5,4.0,68.4959639016881,71.40422911923947,6.318234200224431,1.4985832995292867,3.5040360983119,W2P1,5632.364330251823,2566.7507729976405,59.374720877204254,192.16147351618176,153.51715494913273,70.0,0.0,14707.0028630157,214.71342288320204,2327.707773556936
全部场景Minimax,日能量Minimax固定比例含储能损耗裕度,307.064113494467,491.3025815911472,80.0,20.0,4.0,69.14230306053301,71.5237171767555,6.964573359069341,1.6180713570453094,2.85769693946699,W2P1,5626.362859500652,2560.414487754681,65.71100612016399,214.93079987637873,171.6031141953417,80.0,0.0,16761.18014488251,242.41570504540988,2406.6341584378492
全部场景Minimax,日能量Minimax固定比例含储能损耗裕度,307.064113494467,491.3025815911472,90.0,22.5,4.0,69.78859120275372,71.63143186712561,7.610861501290053,1.7257860474154256,2.2114087972462784,W2P1,5624.475065844623,2554.1433448184994,71.98214905634539,238.19385698795858,190.0850815875267,90.0,0.0,18820.294734263145,269.67580817880923,2472.8205514018455
