场景编号,储能配置基准方法,储能配置风电装机(MW),储能配置光伏装机(MW),时刻,时间,常规负荷(MW),新能源出力(MW),产氨速率(吨/小时),制氨负荷功率(MW),储能充电功率(MW),储能放电功率(MW),荷电量(MWh),弃电功率(MW),未满足功率(MW),功率平衡残差(MW)
W1P1,原始装机最大弃电场景,40.0,64.0,0,0:00-1:00,1.3698000000000001,9.776,0.6076771084337349,8.4062,0.0,0.0,0.0,0.0,0.0,0.0
W1P1,原始装机最大弃电场景,40.0,64.0,1,1:00-2:00,1.0997999999999999,10.904,0.7087373493975904,9.8042,0.0,0.0,0.0,0.0,0.0,0.0
W1P1,原始装机最大弃电场景,40.0,64.0,2,2:00-3:00,0.7998000000000001,15.152000000000001,1.0375084337349398,14.352200000000002,0.0,0.0,0.0,0.0,0.0,0.0
W1P1,原始装机最大弃电场景,40.0,64.0,3,3:00-4:00,0.99,13.312,0.8907469879518072,12.322,0.0,0.0,0.0,0.0,0.0,0.0
W1P1,原始装机最大弃电场景,40.0,64.0,4,4:00-5:00,1.1802000000000001,15.072000000000001,1.0042265060240962,13.891799999999998,0.0,0.0,0.0,0.0,0.0,1.7763568394002505e-15
W1P1,原始装机最大弃电场景,40.0,64.0,5,5:00-6:00,1.6301999999999999,18.724,1.2356963855421688,17.0938,0.0,0.0,0.0,0.0,0.0,0.0
W1P1,原始装机最大弃电场景,40.0,64.0,6,6:00-7:00,2.5002,23.708,1.5330939759036144,21.2078,0.0,0.0,0.0,0.0,0.0,0.0
W1P1,原始装机最大弃电场景,40.0,64.0,7,7:00-8:00,3.3701999999999996,48.404,3.0,41.5,2.5,0.0,2.25,1.0338000000000065,0.0,0.0
W1P1,原始装机最大弃电场景,40.0,64.0,8,8:00-9:00,4.0098,54.971999999999994,3.0,41.5,2.500000000000001,0.0,4.495500000000002,6.962199999999995,0.0,0.0
W1P1,原始装机最大弃电场景,40.0,64.0,9,9:00-10:00,4.199999999999999,60.408,3.0,41.5,2.5000000000000004,0.0,6.736509000000003,12.207999999999998,0.0,0.0
W1P1,原始装机最大弃电场景,40.0,64.0,10,10:00-11:00,4.1202,64.384,3.0,41.5,2.5,0.0,8.973035982000003,16.263800000000003,0.0,0.0
W1P1,原始装机最大弃电场景,40.0,64.0,11,11:00-12:00,3.9000000000000004,62.775999999999996,3.0,41.5,0.0,2.5,6.177312132258225,19.875999999999998,0.0,0.0
W1P1,原始装机最大弃电场景,40.0,64.0,12,12:00-13:00,3.2598000000000003,64.876,3.0,41.5,0.0,2.5,3.387179730215932,22.616200000000006,0.0,0.0
W1P1,原始装机最大弃电场景,40.0,64.0,13,13:00-14:00,2.6898,70.84,3.0,41.5,2.4999999999999987,0.0,5.630405370755499,24.150199999999998,0.0,0.0
W1P1,原始装机最大弃电场景,40.0,64.0,14,14:00-15:00,3.63,59.187999999999995,3.0,41.5,2.4999999999999996,0.0,7.8691445600139875,11.557999999999993,0.0,0.0
W1P1,原始装机最大弃电场景,40.0,64.0,15,15:00-16:00,3.8202000000000003,55.976,3.0,41.5,2.3851041434511577,0.0,10.0,8.27069585654884,0.0,0.0
W1P1,原始装机最大弃电场景,40.0,64.0,16,16:00-17:00,3.75,43.388,2.9193963011390465,40.38498216575681,0.0,0.7469821657568154,9.150019815825761,0.0,0.0,0.0
W1P1,原始装机最大弃电场景,40.0,64.0,17,17:00-18:00,3.1398,30.704,1.9925927710843372,27.5642,0.0,0.0,9.13171977619411,0.0,0.0,0.0
W1P1,原始装机最大弃电场景,40.0,64.0,18,18:00-19:00,2.61,17.948,1.1087710843373495,15.338000000000003,0.0,0.0,9.113456336641722,0.0,0.0,-1.7763568394002505e-15
W1P1,原始装机最大弃电场景,40.0,64.0,19,19:00-20:00,2.1198,5.736,0.3,4.15,0.0,0.5338000000000007,8.502118312857327,0.0,0.0,0.0
W1P1,原始装机最大弃电场景,40.0,64.0,20,20:00-21:00,1.8599999999999999,3.752,0.3,4.15,0.0,2.2580000000000005,5.976225187342723,0.0,0.0,0.0
W1P1,原始装机最大弃电场景,40.0,64.0,21,21:00-22:00,1.6301999999999999,3.6919999999999997,0.3,4.15,0.0,2.0882000000000005,3.644050514745815,0.0,0.0,0.0
W1P1,原始装机最大弃电场景,40.0,64.0,22,22:00-23:00,1.56,4.88,0.3,4.15,0.0,0.8300000000000005,2.7145401914941,0.0,0.0,0.0
W1P1,原始装机最大弃电场景,40.0,64.0,23,23:00-24:00,1.4802,3.1919999999999997,0.3,4.15,0.0,2.4382000000000006,0.0,0.0,0.0,0.0
W1P2,原始装机最大弃电场景,40.0,64.0,0,0:00-1:00,1.3698000000000001,9.776,0.6076771084337349,8.4062,0.0,0.0,0.0,0.0,0.0,0.0
W1P2,原始装机最大弃电场景,40.0,64.0,1,1:00-2:00,1.0997999999999999,10.904,0.7087373493975904,9.8042,0.0,0.0,0.0,0.0,0.0,0.0
W1P2,原始装机最大弃电场景,40.0,64.0,2,2:00-3:00,0.7998000000000001,15.152000000000001,1.0375084337349398,14.352200000000002,0.0,0.0,0.0,0.0,0.0,0.0
W1P2,原始装机最大弃电场景,40.0,64.0,3,3:00-4:00,0.99,13.312,0.8907469879518072,12.322,0.0,0.0,0.0,0.0,0.0,0.0
W1P2,原始装机最大弃电场景,40.0,64.0,4,4:00-5:00,1.1802000000000001,15.072000000000001,1.0042265060240962,13.891799999999998,0.0,0.0,0.0,0.0,0.0,1.7763568394002505e-15
W1P2,原始装机最大弃电场景,40.0,64.0,5,5:00-6:00,1.6301999999999999,18.724,1.2356963855421688,17.0938,0.0,0.0,0.0,0.0,0.0,0.0
W1P2,原始装机最大弃电场景,40.0,64.0,6,6:00-7:00,2.5002,9.628,0.5152626506024096,7.1278,0.0,0.0,0.0,0.0,0.0,8.881784197001252e-16
W1P2,原始装机最大弃电场景,40.0,64.0,7,7:00-8:00,3.3701999999999996,26.004,1.636178313253012,22.6338,0.0,0.0,0.0,0.0,0.0,0.0
W1P2,原始装机最大弃电场景,40.0,64.0,8,8:00-9:00,4.0098,28.732,1.7871469879518072,24.7222,0.0,0.0,0.0,0.0,0.0,0.0
W1P2,原始装机最大弃电场景,40.0,64.0,9,9:00-10:00,4.199999999999999,32.248000000000005,2.027566265060241,28.048000000000002,0.0,0.0,0.0,0.0,0.0,3.552713678800501e-15
W1P2,原始装机最大弃电场景,40.0,64.0,10,10:00-11:00,4.1202,36.864000000000004,2.3670216867469884,32.74380000000001,0.0,0.0,0.0,0.0,0.0,0.0
W1P2,原始装机最大弃电场景,40.0,64.0,11,11:00-12:00,3.9000000000000004,39.096,2.5442891566265056,35.196,0.0,0.0,0.0,0.0,0.0,0.0
W1P2,原始装机最大弃电场景,40.0,64.0,12,12:00-13:00,3.2598000000000003,44.396,2.973701204819278,41.13620000000002,0.0,0.0,0.0,0.0,0.0,-1.4210854715202004e-14
W1P2,原始装机最大弃电场景,40.0,64.0,13,13:00-14:00,2.6898,51.64,3.0,41.5,2.5,0.0,2.249999999999983,4.950200000000002,0.0,0.0
W1P2,原始装机最大弃电场景,40.0,64.0,14,14:00-15:00,3.63,38.708,2.535759036144578,35.077999999999996,0.0,0.0,2.245499999999983,0.0,0.0,0.0
W1P2,原始装机最大弃电场景,40.0,64.0,15,15:00-16:00,3.8202000000000003,36.775999999999996,2.3823469879518067,32.955799999999996,0.0,0.0,2.241008999999983,0.0,0.0,0.0
W1P2,原始装机最大弃电场景,40.0,64.0,16,16:00-17:00,3.75,29.308,1.847566265060241,25.558,0.0,0.0,2.236526981999983,0.0,0.0,0.0
W1P2,原始装机最大弃电场景,40.0,64.0,17,17:00-18:00,3.1398,15.983999999999998,0.9284963855421684,12.844199999999997,0.0,0.0,2.2320539280359832,0.0,0.0,0.0
W1P2,原始装机最大弃电场景,40.0,64.0,18,18:00-19:00,2.61,9.628,0.5073253012048253,7.018000000000084,0.0,0.0,2.227589820179836,0.0,0.0,-8.348877145181177e-14
W1P2,原始装机最大弃电场景,40.0,64.0,19,19:00-20:00,2.1198,5.736,0.3,4.15,0.0,0.5338000000000007,1.6300235294283647,0.0,0.0,0.0
