E_cap_from_MWh,E_cap_to_MWh,marginal_unit_cost_reduction_yuan_per_t_per_MWh
0.0,10.0,-3.332903297359092
10.0,20.0,-3.2078907795721285
20.0,30.0,-3.1187422726510503
30.0,40.0,-3.0549113891526263
40.0,50.0,-3.0036861688896908
50.0,60.0,-2.945202646966101
60.0,70.0,-2.808005733729516
70.0,80.0,-2.770228216220784
80.0,90.0,-2.7260103133399354
90.0,100.0,-2.216871551650718
100.0,110.0,-2.6476998291615077
110.0,120.0,-2.850482783360087
120.0,130.0,-2.8292162602549924
130.0,140.0,-2.585122442236269
140.0,150.0,-2.736194751756409
