方案,吨氨成本(元/吨),全满足天数,全年合成氨产量(吨),储能投资代理变量,电网支撑价值(元/吨),TOPSIS得分,排序
continuous_Q63,6465.3115552176205,300,22680,0.0,0.0,0.5497661908015011,1
discrete_Q72,7228.33253789875,270,25920,0.0,0.0,0.5374551776764638,2
continuous_Q72,7228.33253789875,270,25920,0.0,0.0,0.5374551776764638,3
continuous_Q45,5081.823439804668,240,16200,0.0,0.0,0.5356195879356871,4
continuous_Q54,5724.83149150389,240,19440,0.0,0.0,0.5339133746798372,5
discrete_Q54,5970.538328540927,210,19440,0.0,0.0,0.5216412802378768,6
discrete_Q63,6575.459384979525,210,22680,0.0,0.0,0.5198436597315288,7
continuous_Q36,4300.800838297501,165,12960,0.0,0.0,0.5111304399302142,8
offgrid_storage,4160.429564035626,0,10117.605428769986,10.0,392.0494630260221,0.45376700225211836,9
discrete_Q45,5363.375423971334,15,16200,0.0,0.0,0.4534762286746003,10
discrete_Q36,4585.146813644723,0,12960,0.0,0.0,0.4524118730042569,11
